,Thickness (nm),RTA temperature (C),RTA time (sec),CeO2 doping,"2Pr (uC/cm2), Pristine state",Predicted 2Pr,Coersive Voltage +,Coersive Voltage -
1,10,350,30,4.4,0.31095,,0.1805058,0.0470041
2,10,350,60,4.4,3.05088,,0.77122075,-0.43682671
3,10,350,120,4.4,11.48724,,1.6948303,-1.13973542
4,10,350,300,4.4,27.85326,,1.91296941,-1.33048628
5,10,350,600,4.4,32.44214,,1.79209391,-1.43017459
6,10,360,30,4.4,5.91482,,1.25625142,-0.73565045
7,10,380,30,4.4,20.16876,,1.84129781,-1.21776043
8,10,400,30,4.4,26.66847,,1.73123333,-1.15803778
9,10,400,60,4.4,35.82333,,1.7802988,-1.37687144
10,10,400,120,4.4,36.27027,,1.8071767,-1.38707646
11,10,400,300,4.4,35.18615,,1.90824769,-1.41644527
12,10,400,600,4.4,33.61565,,1.85731595,-1.41210681
13,10,500,30,4.4,30.2557,,1.47888157,-1.40183206
14,10,600,30,4.4,22.55735,,1.23296013,-1.01545633
15,10,700,30,4.4,21.46867,,0.91808607,-0.87833593
16,10,389.2,309.6,4.4,31.50787,22.2,1.6366427,-1.34754551
17,10,544.4,150,4.4,31.26807,22.8,0.93533957,-1.62229636
18,10,440.9,199.9,4.4,30.20885,22.86,1.28549921,-1.54943841
19,10,402.2,279.7,4.4,29.97977,22.5,1.5812381,-1.37929557
