Vforce,Charge
1.9589E-3,000.0000E+0
1.5477E-3,-23.9898E-15
-630.3309E-6,-107.6295E-15
-355.0576E-6,-73.3523E-15
83.2536E-6,690.5390E-18
1.8263E-3,102.8457E-15
2.1118E-3,76.7949E-15
1.1043E-3,-39.0669E-15
949.7170E-6,-67.8622E-15
2.9732E-3,62.3994E-15
1.3897E-3,123.4182E-15
2.1050E-3,57.6012E-15
1.8145E-3,-45.9238E-15
2.8440E-3,-15.0676E-15
-941.1654E-6,109.0189E-15
1.6769E-3,155.6399E-15
1.9708E-3,28.8087E-15
-1.5239E-3,-159.0489E-15
-368.6032E-6,-129.5751E-15
2.5382E-3,-15.0825E-15
-648.9583E-6,187.8478E-15
1.5257E-3,128.8861E-15
1.9555E-3,-7.5482E-15
514.7935E-6,-63.7675E-15
373.7685E-6,47.9832E-15
225.9718E-6,191.9556E-15
2.1118E-3,156.9921E-15
810.3869E-6,8.9060E-15
378.8488E-6,-41.8260E-15
1.9640E-3,13.0215E-15
956.4905E-6,200.1885E-15
674.4423E-6,244.7554E-15
4.5600E-3,102.1524E-15
-917.4572E-6,-42.5041E-15
81.5609E-6,30.1671E-15
961.5713E-6,205.6807E-15
1.2487E-3,259.1591E-15
2.1169E-3,183.0620E-15
958.1832E-6,82.9682E-15
1.3948E-3,89.8271E-15
-484.2264E-6,94.6288E-15
1.5409E-3,89.1477E-15
-1.6463E-3,153.5934E-15
1.8263E-3,182.3907E-15
-638.7989E-6,107.6610E-15
217.5051E-6,4.1334E-15
-4.9948E-3,76.7977E-15
-1.3795E-3,139.8653E-15
-1.9487E-3,132.3201E-15
-2.3836E-3,54.8443E-15
232.7453E-6,-6.8576E-15
-59.4623E-6,6.1684E-15
-3.3809E-3,82.2686E-15
-1.8195E-3,117.9106E-15
-1.5070E-3,138.4771E-15
526.6460E-6,98.0300E-15
-1.2283E-3,48.6633E-15
-2.2324E-3,80.8838E-15
-54.3838E-6,171.3829E-15
-776.4345E-6,163.1573E-15
-642.1848E-6,102.8239E-15
1.5409E-3,98.0284E-15
90.0271E-6,169.3311E-15
2.1304E-3,155.6266E-15
361.9160E-6,96.6623E-15
1.9674E-3,52.1005E-15
1.6616E-3,48.6688E-15
1.1128E-3,126.1455E-15
516.4862E-6,184.4198E-15
817.1605E-6,176.8815E-15
-648.9583E-6,159.7380E-15
-795.0614E-6,113.7992E-15
1.2335E-3,158.3602E-15
-353.3630E-6,202.9218E-15
1.8348E-3,238.5776E-15
-788.2883E-6,217.3221E-15
-642.1848E-6,178.2420E-15
-73.0088E-6,93.9103E-15
-61.1554E-6,118.5909E-15
-2.0931E-3,180.2900E-15
1.3948E-3,165.8957E-15
953.1051E-6,149.4421E-15
2.3972E-3,112.4207E-15
-215.7256E-6,65.1114E-15
-49.3011E-6,139.8436E-15
-3.5168E-3,163.1561E-15
-1.2198E-3,167.2680E-15
1.6819E-3,110.3667E-15
813.7723E-6,118.5958E-15
2.5535E-3,153.5650E-15
239.5207E-6,202.2448E-15
-3.0904E-3,200.1885E-15
1.3948E-3,135.7463E-15
224.2786E-6,150.8276E-15
655.8167E-6,212.5283E-15
-66.2358E-6,207.7270E-15
1.5392E-3,170.0227E-15
518.1794E-6,170.0226E-15
373.7685E-6,243.3805E-15
801.9203E-6,269.4311E-15
5.5742E-3,353.7589E-15
9.2832E-3,2.0375E-12
27.1799E-3,5.8960E-12
41.4969E-3,10.7877E-12
56.0586E-3,15.8048E-12
72.2275E-3,20.6827E-12
86.5394E-3,25.6642E-12
103.5781E-3,30.6608E-12
116.9930E-3,35.7053E-12
133.0192E-3,40.6847E-12
148.1958E-3,45.5277E-12
162.3751E-3,50.4166E-12
176.9233E-3,55.4515E-12
193.4030E-3,60.5667E-12
209.4343E-3,65.6750E-12
224.7435E-3,70.7264E-12
237.5791E-3,75.7661E-12
256.3676E-3,80.9176E-12
268.6222E-3,86.1308E-12
283.3572E-3,91.2898E-12
298.3674E-3,96.4962E-12
315.7135E-3,101.8787E-12
327.6996E-3,107.3099E-12
343.7207E-3,112.7706E-12
360.9242E-3,118.1045E-12
374.0486E-3,123.4918E-12
389.3595E-3,129.0649E-12
403.8140E-3,134.7368E-12
421.4372E-3,140.4957E-12
432.3989E-3,146.2745E-12
447.8304E-3,152.1363E-12
462.4328E-3,158.1221E-12
478.5949E-3,164.2005E-12
494.7621E-3,170.4640E-12
509.3645E-3,176.8516E-12
523.7852E-3,183.1453E-12
538.6628E-3,189.6035E-12
555.1392E-3,196.3339E-12
572.4803E-3,203.2110E-12
585.0389E-3,210.0779E-12
598.7494E-3,217.0359E-12
617.7964E-3,224.2462E-12
630.2241E-3,231.7664E-12
645.3838E-3,239.4347E-12
660.5283E-3,247.1256E-12
671.7923E-3,254.9344E-12
690.7253E-3,263.0839E-12
702.2713E-3,271.5256E-12
717.5720E-3,280.1543E-12
731.4320E-3,288.8997E-12
749.0518E-3,297.7993E-12
760.7270E-3,306.9669E-12
777.7759E-3,316.4808E-12
790.1765E-3,326.3203E-12
803.4538E-3,336.3648E-12
821.3862E-3,346.4793E-12
835.3821E-3,356.8817E-12
852.1507E-3,367.6906E-12
864.9897E-3,378.7992E-12
880.0117E-3,390.0914E-12
891.8381E-3,401.7059E-12
906.0021E-3,413.7455E-12
925.3312E-3,426.1635E-12
936.6002E-3,438.8736E-12
952.0437E-3,451.8668E-12
966.1823E-3,465.2776E-12
980.3565E-3,479.1922E-12
996.0922E-3,493.4785E-12
1.0114E+0,508.1281E-12
1.0250E+0,523.2603E-12
1.0381E+0,538.9451E-12
1.0540E+0,555.2086E-12
1.0688E+0,571.9307E-12
1.0821E+0,589.1794E-12
1.0965E+0,607.0985E-12
1.1095E+0,625.8459E-12
1.1228E+0,645.5002E-12
1.1354E+0,665.9842E-12
1.1495E+0,687.1749E-12
1.1654E+0,709.1850E-12
1.1813E+0,732.2426E-12
1.1918E+0,756.3499E-12
1.2057E+0,781.1640E-12
1.2198E+0,806.5766E-12
1.2340E+0,832.6562E-12
1.2494E+0,859.6532E-12
1.2627E+0,887.5696E-12
1.2790E+0,916.0859E-12
1.2871E+0,945.1047E-12
1.3034E+0,974.6898E-12
1.3154E+0,1.0050E-9
1.3334E+0,1.0358E-9
1.3456E+0,1.0673E-9
1.3639E+0,1.0992E-9
1.3779E+0,1.1314E-9
1.3919E+0,1.1640E-9
1.4049E+0,1.1971E-9
1.4224E+0,1.2306E-9
1.4330E+0,1.2645E-9
1.4478E+0,1.2985E-9
1.4632E+0,1.3328E-9
1.4801E+0,1.3673E-9
1.4957E+0,1.4021E-9
1.5097E+0,1.4369E-9
1.5230E+0,1.4718E-9
1.5406E+0,1.5069E-9
1.5558E+0,1.5419E-9
1.5711E+0,1.5771E-9
1.5864E+0,1.6121E-9
1.6014E+0,1.6471E-9
1.6198E+0,1.6818E-9
1.6306E+0,1.7165E-9
1.6465E+0,1.7510E-9
1.6644E+0,1.7855E-9
1.6772E+0,1.8198E-9
1.6944E+0,1.8537E-9
1.7113E+0,1.8873E-9
1.7230E+0,1.9209E-9
1.7433E+0,1.9541E-9
1.7545E+0,1.9869E-9
1.7682E+0,2.0195E-9
1.7879E+0,2.0518E-9
1.8031E+0,2.0837E-9
1.8220E+0,2.1152E-9
1.8353E+0,2.1463E-9
1.8504E+0,2.1771E-9
1.8698E+0,2.2075E-9
1.8835E+0,2.2374E-9
1.9003E+0,2.2667E-9
1.9131E+0,2.2956E-9
1.9328E+0,2.3241E-9
1.9504E+0,2.3521E-9
1.9641E+0,2.3797E-9
1.9770E+0,2.4066E-9
1.9949E+0,2.4331E-9
2.0113E+0,2.4590E-9
2.0252E+0,2.4845E-9
2.0434E+0,2.5096E-9
2.0584E+0,2.5341E-9
2.0765E+0,2.5579E-9
2.0937E+0,2.5813E-9
2.1078E+0,2.6043E-9
2.1233E+0,2.6269E-9
2.1383E+0,2.6489E-9
2.1559E+0,2.6704E-9
2.1701E+0,2.6915E-9
2.1868E+0,2.7123E-9
2.2017E+0,2.7326E-9
2.2167E+0,2.7526E-9
2.2345E+0,2.7721E-9
2.2490E+0,2.7913E-9
2.2654E+0,2.8101E-9
2.2814E+0,2.8286E-9
2.2963E+0,2.8468E-9
2.3108E+0,2.8647E-9
2.3281E+0,2.8822E-9
2.3463E+0,2.8995E-9
2.3600E+0,2.9164E-9
2.3729E+0,2.9330E-9
2.3899E+0,2.9495E-9
2.4041E+0,2.9659E-9
2.4189E+0,2.9819E-9
2.4345E+0,2.9977E-9
2.4500E+0,3.0133E-9
2.4670E+0,3.0288E-9
2.4841E+0,3.0441E-9
2.4990E+0,3.0593E-9
2.5159E+0,3.0742E-9
2.5291E+0,3.0889E-9
2.5465E+0,3.1035E-9
2.5609E+0,3.1179E-9
2.5754E+0,3.1321E-9
2.5944E+0,3.1462E-9
2.6070E+0,3.1601E-9
2.6226E+0,3.1739E-9
2.6385E+0,3.1875E-9
2.6536E+0,3.2010E-9
2.6677E+0,3.2143E-9
2.6859E+0,3.2274E-9
2.6970E+0,3.2404E-9
2.7158E+0,3.2532E-9
2.7329E+0,3.2660E-9
2.7478E+0,3.2786E-9
2.7698E+0,3.2909E-9
2.7787E+0,3.3031E-9
2.7951E+0,3.3151E-9
2.8089E+0,3.3269E-9
2.8239E+0,3.3387E-9
2.8408E+0,3.3503E-9
2.8535E+0,3.3618E-9
2.8714E+0,3.3731E-9
2.8875E+0,3.3842E-9
2.9000E+0,3.3950E-9
2.9171E+0,3.4055E-9
2.9327E+0,3.4159E-9
2.9492E+0,3.4261E-9
2.9663E+0,3.4361E-9
2.9780E+0,3.4458E-9
2.9948E+0,3.4552E-9
3.0131E+0,3.4644E-9
3.0215E+0,3.4730E-9
3.0200E+0,3.4786E-9
3.0070E+0,3.4796E-9
2.9923E+0,3.4781E-9
2.9763E+0,3.4753E-9
2.9592E+0,3.4722E-9
2.9471E+0,3.4691E-9
2.9330E+0,3.4659E-9
2.9172E+0,3.4623E-9
2.9020E+0,3.4585E-9
2.8860E+0,3.4545E-9
2.8719E+0,3.4506E-9
2.8563E+0,3.4467E-9
2.8382E+0,3.4427E-9
2.8268E+0,3.4385E-9
2.8104E+0,3.4343E-9
2.7955E+0,3.4301E-9
2.7823E+0,3.4260E-9
2.7653E+0,3.4218E-9
2.7478E+0,3.4175E-9
2.7344E+0,3.4131E-9
2.7191E+0,3.4087E-9
2.7051E+0,3.4044E-9
2.6905E+0,3.4000E-9
2.6750E+0,3.3956E-9
2.6579E+0,3.3911E-9
2.6428E+0,3.3868E-9
2.6288E+0,3.3823E-9
2.6158E+0,3.3778E-9
2.5992E+0,3.3732E-9
2.5849E+0,3.3687E-9
2.5689E+0,3.3643E-9
2.5542E+0,3.3598E-9
2.5390E+0,3.3552E-9
2.5209E+0,3.3505E-9
2.5090E+0,3.3461E-9
2.4929E+0,3.3416E-9
2.4776E+0,3.3369E-9
2.4606E+0,3.3321E-9
2.4451E+0,3.3273E-9
2.4304E+0,3.3227E-9
2.4177E+0,3.3182E-9
2.4006E+0,3.3135E-9
2.3880E+0,3.3086E-9
2.3705E+0,3.3039E-9
2.3575E+0,3.2993E-9
2.3393E+0,3.2947E-9
2.3264E+0,3.2899E-9
2.3082E+0,3.2851E-9
2.2948E+0,3.2803E-9
2.2817E+0,3.2756E-9
2.2630E+0,3.2709E-9
2.2499E+0,3.2660E-9
2.2373E+0,3.2610E-9
2.2196E+0,3.2562E-9
2.2066E+0,3.2515E-9
2.1907E+0,3.2467E-9
2.1738E+0,3.2417E-9
2.1614E+0,3.2368E-9
2.1462E+0,3.2318E-9
2.1298E+0,3.2269E-9
2.1143E+0,3.2221E-9
2.0971E+0,3.2172E-9
2.0830E+0,3.2121E-9
2.0674E+0,3.2071E-9
2.0539E+0,3.2021E-9
2.0385E+0,3.1973E-9
2.0245E+0,3.1923E-9
2.0051E+0,3.1872E-9
1.9912E+0,3.1821E-9
1.9762E+0,3.1771E-9
1.9648E+0,3.1721E-9
1.9471E+0,3.1670E-9
1.9323E+0,3.1618E-9
1.9154E+0,3.1567E-9
1.9006E+0,3.1515E-9
1.8857E+0,3.1464E-9
1.8728E+0,3.1413E-9
1.8523E+0,3.1362E-9
1.8402E+0,3.1310E-9
1.8243E+0,3.1258E-9
1.8117E+0,3.1205E-9
1.7953E+0,3.1154E-9
1.7806E+0,3.1102E-9
1.7647E+0,3.1050E-9
1.7494E+0,3.0997E-9
1.7364E+0,3.0943E-9
1.7186E+0,3.0890E-9
1.7020E+0,3.0837E-9
1.6893E+0,3.0784E-9
1.6712E+0,3.0730E-9
1.6588E+0,3.0676E-9
1.6434E+0,3.0621E-9
1.6275E+0,3.0568E-9
1.6127E+0,3.0514E-9
1.5977E+0,3.0460E-9
1.5837E+0,3.0405E-9
1.5691E+0,3.0350E-9
1.5543E+0,3.0295E-9
1.5370E+0,3.0239E-9
1.5224E+0,3.0183E-9
1.5062E+0,3.0127E-9
1.4948E+0,3.0071E-9
1.4775E+0,3.0015E-9
1.4633E+0,2.9959E-9
1.4487E+0,2.9902E-9
1.4334E+0,2.9846E-9
1.4222E+0,2.9788E-9
1.4035E+0,2.9731E-9
1.3886E+0,2.9673E-9
1.3715E+0,2.9615E-9
1.3556E+0,2.9556E-9
1.3420E+0,2.9498E-9
1.3263E+0,2.9439E-9
1.3108E+0,2.9380E-9
1.2980E+0,2.9321E-9
1.2821E+0,2.9262E-9
1.2662E+0,2.9203E-9
1.2529E+0,2.9143E-9
1.2380E+0,2.9082E-9
1.2210E+0,2.9021E-9
1.2038E+0,2.8960E-9
1.1911E+0,2.8899E-9
1.1758E+0,2.8837E-9
1.1618E+0,2.8774E-9
1.1443E+0,2.8711E-9
1.1290E+0,2.8648E-9
1.1128E+0,2.8585E-9
1.0987E+0,2.8522E-9
1.0845E+0,2.8458E-9
1.0699E+0,2.8393E-9
1.0554E+0,2.8328E-9
1.0390E+0,2.8262E-9
1.0229E+0,2.8196E-9
1.0100E+0,2.8132E-9
994.1225E-3,2.8065E-9
974.0292E-3,2.7997E-9
958.8881E-3,2.7929E-9
947.0362E-3,2.7861E-9
932.1654E-3,2.7793E-9
918.0165E-3,2.7724E-9
902.7091E-3,2.7654E-9
888.1117E-3,2.7584E-9
873.2442E-3,2.7514E-9
853.5875E-3,2.7442E-9
843.0659E-3,2.7370E-9
826.7526E-3,2.7297E-9
814.4624E-3,2.7224E-9
797.2911E-3,2.7150E-9
783.5823E-3,2.7075E-9
769.3061E-3,2.7000E-9
751.7951E-3,2.6922E-9
738.5212E-3,2.6845E-9
722.4781E-3,2.6768E-9
707.0364E-3,2.6690E-9
693.4618E-3,2.6610E-9
677.5801E-3,2.6529E-9
666.4673E-3,2.6449E-9
649.1549E-3,2.6367E-9
635.1421E-3,2.6284E-9
617.2318E-3,2.6200E-9
605.3901E-3,2.6114E-9
587.0483E-3,2.6028E-9
571.8887E-3,2.5941E-9
561.0629E-3,2.5853E-9
544.4693E-3,2.5764E-9
528.1238E-3,2.5674E-9
514.7156E-3,2.5582E-9
497.5190E-3,2.5489E-9
484.3810E-3,2.5394E-9
467.7552E-3,2.5299E-9
454.9230E-3,2.5201E-9
439.5969E-3,2.5102E-9
423.4314E-3,2.5003E-9
408.1307E-3,2.4902E-9
393.9988E-3,2.4798E-9
378.6760E-3,2.4693E-9
369.3181E-3,2.4586E-9
350.3919E-3,2.4478E-9
336.8173E-3,2.4368E-9
320.1966E-3,2.4256E-9
305.9186E-3,2.4143E-9
290.7690E-3,2.4027E-9
277.0534E-3,2.3908E-9
260.1405E-3,2.3786E-9
246.7171E-3,2.3662E-9
232.1232E-3,2.3538E-9
219.4422E-3,2.3410E-9
204.1380E-3,2.3279E-9
190.5668E-3,2.3145E-9
174.5288E-3,2.3009E-9
158.3464E-3,2.2869E-9
143.3413E-3,2.2727E-9
128.1697E-3,2.2582E-9
114.0310E-3,2.2432E-9
99.1585E-3,2.2278E-9
87.1944E-3,2.2120E-9
67.0960E-3,2.1958E-9
57.0143E-3,2.1792E-9
40.8251E-3,2.1620E-9
27.9879E-3,2.1444E-9
13.5383E-3,2.1264E-9
123.4266E-6,2.1078E-9
-16.7743E-3,2.0885E-9
-30.0753E-3,2.0688E-9
-42.4641E-3,2.0486E-9
-60.2215E-3,2.0278E-9
-70.4662E-3,2.0063E-9
-84.7526E-3,1.9842E-9
-101.0879E-3,1.9617E-9
-115.6531E-3,1.9386E-9
-130.3846E-3,1.9149E-9
-143.9626E-3,1.8907E-9
-158.5345E-3,1.8661E-9
-171.6589E-3,1.8412E-9
-185.6684E-3,1.8158E-9
-201.5806E-3,1.7898E-9
-215.8569E-3,1.7634E-9
-231.6027E-3,1.7366E-9
-247.4862E-3,1.7096E-9
-262.2042E-3,1.6823E-9
-276.2120E-3,1.6547E-9
-291.0778E-3,1.6269E-9
-304.7883E-3,1.5988E-9
-320.2487E-3,1.5706E-9
-331.4975E-3,1.5424E-9
-350.5850E-3,1.5141E-9
-365.3098E-3,1.4856E-9
-381.4906E-3,1.4572E-9
-395.9147E-3,1.4289E-9
-412.5337E-3,1.4007E-9
-425.7974E-3,1.3726E-9
-442.2771E-3,1.3446E-9
-457.1497E-3,1.3167E-9
-474.5026E-3,1.2892E-9
-490.5085E-3,1.2619E-9
-504.5248E-3,1.2350E-9
-522.3177E-3,1.2083E-9
-535.2910E-3,1.1819E-9
-552.0527E-3,1.1558E-9
-569.5060E-3,1.1299E-9
-581.9338E-3,1.1041E-9
-599.4363E-3,1.0785E-9
-613.5716E-3,1.0530E-9
-630.6255E-3,1.0276E-9
-642.7255E-3,1.0023E-9
-656.4563E-3,977.1286E-12
-674.9493E-3,951.7420E-12
-690.3996E-3,926.1655E-12
-706.3017E-3,900.5068E-12
-719.5772E-3,874.7322E-12
-736.7739E-3,848.7807E-12
-749.9035E-3,822.7106E-12
-764.9102E-3,796.4163E-12
-779.2103E-3,769.8848E-12
-792.1869E-3,743.1161E-12
-809.3599E-3,716.0649E-12
-820.4880E-3,688.7032E-12
-837.5301E-3,661.0083E-12
-850.9551E-3,632.9541E-12
-867.1376E-3,604.5475E-12
-880.7037E-3,575.8201E-12
-893.8399E-3,546.6793E-12
-908.6905E-3,517.0421E-12
-925.1685E-3,486.9846E-12
-936.1217E-3,456.5021E-12
-954.7659E-3,425.6877E-12
-965.8720E-3,394.4518E-12
-984.3768E-3,362.8805E-12
-997.9294E-3,331.1948E-12
-1.0138E+0,299.4899E-12
-1.0286E+0,267.7328E-12
