Vforce,Charge
-79.6663E-6,000.0000E+0
3.1261E-3,66.6244E-15
-4.9845E-3,120.2153E-15
-81.3590E-6,96.3326E-15
-1.2383E-3,42.9690E-15
-224.0772E-6,37.5977E-15
-225.7699E-6,43.1953E-15
802.0368E-6,74.1649E-15
1.2319E-3,98.2776E-15
-72.8928E-6,95.6508E-15
-229.1557E-6,58.7408E-15
200.6869E-6,34.1704E-15
204.0732E-6,-54.1587E-15
210.8486E-6,-66.3853E-15
-811.8782E-6,68.1001E-15
-79.6663E-6,136.7723E-15
-957.9813E-6,95.0611E-15
-232.5457E-6,30.7266E-15
-2.2340E-3,35.6428E-15
2.2461E-3,80.3242E-15
-71.1983E-6,66.7285E-15
-1.0956E-3,47.6438E-15
-665.7746E-6,50.4969E-15
-677.6280E-6,86.9401E-15
788.4884E-6,133.6740E-15
-813.5704E-6,181.0892E-15
-674.2427E-6,212.0488E-15
-1.5458E-3,144.9677E-15
1.6346E-3,94.3417E-15
-964.7576E-6,122.5584E-15
-1.2502E-3,229.6188E-15
-1.3997E-3,152.2543E-15
917.6595E-6,19.3594E-15
-1.3912E-3,-47.0329E-15
210.8486E-6,25.0677E-15
503.0561E-6,164.3570E-15
1.0858E-3,182.2989E-15
487.8141E-6,131.6756E-15
1.3492E-3,118.0725E-15
-229.1557E-6,162.7475E-15
-1.9773E-3,197.1339E-15
-956.2891E-6,128.6853E-15
1.3526E-3,65.0353E-15
1.5122E-3,52.1236E-15
1.0790E-3,59.0939E-15
2.5180E-3,66.0627E-15
-84.7448E-6,109.3665E-15
-662.3883E-6,141.0154E-15
-2.1099E-3,150.0388E-15
-229.1557E-6,163.8623E-15
-806.7974E-6,172.2012E-15
-507.8163E-6,181.9144E-15
-660.6938E-6,169.6861E-15
363.7261E-6,235.6192E-15
-382.0346E-6,242.5842E-15
204.0732E-6,220.0716E-15
-235.9306E-6,231.1507E-15
-509.5090E-6,178.4748E-15
197.3002E-6,103.1698E-15
-653.9198E-6,51.8652E-15
-1.5305E-3,112.9938E-15
-935.9662E-6,275.5947E-15
-2.2492E-3,284.6197E-15
-366.7931E-6,163.3845E-15
2.2529E-3,113.4569E-15
-808.4919E-6,247.9434E-15
927.8184E-6,342.6669E-15
-816.9604E-6,353.7449E-15
-91.5197E-6,296.2652E-15
-1.8228E-3,268.9519E-15
934.5924E-6,279.3502E-15
1.2268E-3,304.8325E-15
2.5265E-3,285.0659E-15
1.0705E-3,180.2828E-15
647.4670E-6,218.7907E-15
2.3922E-3,284.7258E-15
2.6777E-3,304.7255E-15
-2.2458E-3,340.4895E-15
-1.2366E-3,351.5717E-15
1.6516E-3,309.8637E-15
1.2268E-3,260.6169E-15
348.4841E-6,289.5234E-15
63.0519E-6,365.0509E-15
-79.6663E-6,326.0858E-15
-84.7448E-6,285.0623E-15
647.4670E-6,295.4611E-15
-813.5704E-6,360.7016E-15
57.9696E-6,395.7779E-15
-971.5311E-6,332.8093E-15
-1.8278E-3,269.1582E-15
-1.0990E-3,252.8148E-15
-655.6130E-6,229.6188E-15
-79.6663E-6,187.9113E-15
-380.3415E-6,212.7021E-15
-2.2729E-3,222.4053E-15
-1.3777E-3,265.7112E-15
-669.1595E-6,318.6112E-15
774.9437E-6,291.2973E-15
-368.4862E-6,222.1663E-15
-96.6010E-6,205.8203E-15
1.7621E-3,411.5989E-15
12.4400E-3,2.1449E-12
24.8254E-3,5.9198E-12
41.3119E-3,10.7272E-12
57.9259E-3,15.7184E-12
70.0513E-3,20.7596E-12
89.4090E-3,25.8009E-12
100.0836E-3,30.7351E-12
119.1390E-3,35.6091E-12
133.4491E-3,40.5242E-12
149.6265E-3,45.5051E-12
164.7963E-3,50.4003E-12
179.5279E-3,55.2180E-12
191.9320E-3,60.1283E-12
208.6802E-3,65.2140E-12
223.1297E-3,70.2765E-12
240.9142E-3,75.3205E-12
255.7867E-3,80.2589E-12
270.5098E-3,85.2261E-12
287.8441E-3,90.2077E-12
302.4279E-3,95.2283E-12
316.1384E-3,100.2367E-12
330.7205E-3,105.1017E-12
344.1321E-3,110.0757E-12
362.2121E-3,115.1841E-12
376.6532E-3,120.3351E-12
391.6769E-3,125.3201E-12
405.5132E-3,130.1645E-12
420.8224E-3,135.1338E-12
438.4591E-3,140.2833E-12
452.4568E-3,145.4061E-12
469.2117E-3,150.4076E-12
482.6199E-3,155.3679E-12
496.7670E-3,160.3893E-12
514.2577E-3,165.5210E-12
527.5450E-3,170.6493E-12
545.1597E-3,175.6864E-12
557.8899E-3,180.7537E-12
574.9049E-3,185.8943E-12
590.0883E-3,191.0260E-12
603.7971E-3,196.2133E-12
618.6680E-3,201.3251E-12
632.0846E-3,206.4617E-12
649.2915E-3,211.5961E-12
665.1682E-3,216.8842E-12
680.9190E-3,222.2798E-12
692.8984E-3,227.5528E-12
709.5139E-3,232.7606E-12
723.0750E-3,238.0206E-12
741.4253E-3,243.4053E-12
754.2677E-3,248.9230E-12
772.0386E-3,254.3865E-12
783.8599E-3,259.9029E-12
800.1902E-3,265.6057E-12
814.0519E-3,271.3914E-12
829.6413E-3,277.1765E-12
844.9387E-3,283.0953E-12
860.6642E-3,289.1875E-12
873.9737E-3,295.3888E-12
888.9890E-3,301.6174E-12
899.9659E-3,308.1039E-12
918.1463E-3,314.9495E-12
932.5856E-3,321.8741E-12
948.1905E-3,328.9721E-12
964.2285E-3,336.2942E-12
978.9515E-3,343.8975E-12
989.0433E-3,351.8799E-12
1.0080E+0,360.2222E-12
1.0231E+0,368.9094E-12
1.0351E+0,377.8838E-12
1.0520E+0,387.1928E-12
1.0656E+0,396.9543E-12
1.0784E+0,407.1504E-12
1.0933E+0,417.7655E-12
1.1103E+0,428.7782E-12
1.1236E+0,440.2036E-12
1.1359E+0,452.0965E-12
1.1532E+0,464.5866E-12
1.1658E+0,477.5663E-12
1.1791E+0,491.0279E-12
1.1935E+0,504.9036E-12
1.2085E+0,519.1851E-12
1.2241E+0,533.9850E-12
1.2381E+0,549.3127E-12
1.2527E+0,565.1259E-12
1.2644E+0,581.3751E-12
1.2823E+0,598.0356E-12
1.2982E+0,615.0074E-12
1.3094E+0,632.4187E-12
1.3247E+0,650.2413E-12
1.3402E+0,668.4046E-12
1.3533E+0,686.9388E-12
1.3699E+0,705.7768E-12
1.3838E+0,724.9898E-12
1.4002E+0,744.5051E-12
1.4150E+0,764.2316E-12
1.4258E+0,784.2803E-12
1.4435E+0,804.5491E-12
1.4583E+0,825.0173E-12
1.4746E+0,845.7126E-12
1.4912E+0,866.5867E-12
1.5036E+0,887.7077E-12
1.5172E+0,909.0165E-12
1.5332E+0,930.5214E-12
1.5488E+0,952.1428E-12
1.5628E+0,973.9110E-12
1.5768E+0,995.8766E-12
1.5907E+0,1.0179E-9
1.6076E+0,1.0402E-9
1.6197E+0,1.0626E-9
1.6386E+0,1.0852E-9
1.6528E+0,1.1079E-9
1.6678E+0,1.1309E-9
1.6835E+0,1.1539E-9
1.6957E+0,1.1772E-9
1.7137E+0,1.2004E-9
1.7316E+0,1.2239E-9
1.7394E+0,1.2476E-9
1.7585E+0,1.2716E-9
1.7690E+0,1.2956E-9
1.7881E+0,1.3197E-9
1.8016E+0,1.3439E-9
1.8161E+0,1.3682E-9
1.8321E+0,1.3927E-9
1.8476E+0,1.4173E-9
1.8601E+0,1.4420E-9
1.8757E+0,1.4668E-9
1.8928E+0,1.4916E-9
1.9062E+0,1.5165E-9
1.9214E+0,1.5414E-9
1.9354E+0,1.5664E-9
1.9536E+0,1.5914E-9
1.9670E+0,1.6163E-9
1.9832E+0,1.6412E-9
1.9996E+0,1.6661E-9
2.0151E+0,1.6909E-9
2.0272E+0,1.7156E-9
2.0443E+0,1.7402E-9
2.0586E+0,1.7646E-9
2.0765E+0,1.7888E-9
2.0911E+0,1.8128E-9
2.1054E+0,1.8366E-9
2.1213E+0,1.8604E-9
2.1377E+0,1.8838E-9
2.1527E+0,1.9070E-9
2.1676E+0,1.9299E-9
2.1838E+0,1.9526E-9
2.1991E+0,1.9750E-9
2.2148E+0,1.9971E-9
2.2319E+0,2.0189E-9
2.2459E+0,2.0403E-9
2.2614E+0,2.0615E-9
2.2777E+0,2.0823E-9
2.2909E+0,2.1029E-9
2.3089E+0,2.1231E-9
2.3243E+0,2.1431E-9
2.3416E+0,2.1628E-9
2.3561E+0,2.1822E-9
2.3704E+0,2.2012E-9
2.3876E+0,2.2200E-9
2.4001E+0,2.2385E-9
2.4181E+0,2.2568E-9
2.4305E+0,2.2748E-9
2.4479E+0,2.2925E-9
2.4661E+0,2.3100E-9
2.4835E+0,2.3274E-9
2.4963E+0,2.3445E-9
2.5118E+0,2.3612E-9
2.5264E+0,2.3777E-9
2.5428E+0,2.3940E-9
2.5577E+0,2.4102E-9
2.5730E+0,2.4262E-9
2.5867E+0,2.4420E-9
2.6025E+0,2.4575E-9
2.6191E+0,2.4728E-9
2.6389E+0,2.4881E-9
2.6497E+0,2.5031E-9
2.6656E+0,2.5179E-9
2.6790E+0,2.5325E-9
2.6938E+0,2.5469E-9
2.7127E+0,2.5612E-9
2.7289E+0,2.5755E-9
2.7427E+0,2.5895E-9
2.7583E+0,2.6032E-9
2.7727E+0,2.6169E-9
2.7921E+0,2.6305E-9
2.8031E+0,2.6439E-9
2.8204E+0,2.6571E-9
2.8375E+0,2.6701E-9
2.8496E+0,2.6831E-9
2.8676E+0,2.6959E-9
2.8818E+0,2.7086E-9
2.8957E+0,2.7211E-9
2.9133E+0,2.7334E-9
2.9305E+0,2.7459E-9
2.9425E+0,2.7581E-9
2.9599E+0,2.7701E-9
2.9760E+0,2.7821E-9
2.9932E+0,2.7941E-9
3.0051E+0,2.8059E-9
3.0186E+0,2.8173E-9
3.0136E+0,2.8253E-9
3.0005E+0,2.8286E-9
2.9892E+0,2.8289E-9
2.9731E+0,2.8278E-9
2.9604E+0,2.8259E-9
2.9463E+0,2.8234E-9
2.9335E+0,2.8204E-9
2.9174E+0,2.8171E-9
2.9029E+0,2.8137E-9
2.8877E+0,2.8101E-9
2.8705E+0,2.8063E-9
2.8609E+0,2.8023E-9
2.8420E+0,2.7983E-9
2.8268E+0,2.7943E-9
2.8129E+0,2.7902E-9
2.7959E+0,2.7860E-9
2.7820E+0,2.7818E-9
2.7646E+0,2.7775E-9
2.7520E+0,2.7732E-9
2.7360E+0,2.7689E-9
2.7228E+0,2.7646E-9
2.7046E+0,2.7603E-9
2.6893E+0,2.7558E-9
2.6711E+0,2.7513E-9
2.6612E+0,2.7469E-9
2.6435E+0,2.7424E-9
2.6285E+0,2.7379E-9
2.6115E+0,2.7334E-9
2.5979E+0,2.7288E-9
2.5839E+0,2.7243E-9
2.5700E+0,2.7197E-9
2.5531E+0,2.7151E-9
2.5407E+0,2.7106E-9
2.5261E+0,2.7060E-9
2.5107E+0,2.7013E-9
2.4921E+0,2.6967E-9
2.4751E+0,2.6921E-9
2.4627E+0,2.6874E-9
2.4482E+0,2.6827E-9
2.4326E+0,2.6780E-9
2.4190E+0,2.6733E-9
2.4008E+0,2.6686E-9
2.3850E+0,2.6638E-9
2.3702E+0,2.6590E-9
2.3535E+0,2.6543E-9
2.3424E+0,2.6496E-9
2.3279E+0,2.6448E-9
2.3124E+0,2.6399E-9
2.2968E+0,2.6351E-9
2.2819E+0,2.6303E-9
2.2648E+0,2.6254E-9
2.2519E+0,2.6206E-9
2.2341E+0,2.6156E-9
2.2171E+0,2.6107E-9
2.2067E+0,2.6058E-9
2.1900E+0,2.6009E-9
2.1771E+0,2.5959E-9
2.1612E+0,2.5909E-9
2.1463E+0,2.5860E-9
2.1315E+0,2.5811E-9
2.1141E+0,2.5762E-9
2.0988E+0,2.5711E-9
2.0859E+0,2.5659E-9
2.0641E+0,2.5609E-9
2.0548E+0,2.5560E-9
2.0405E+0,2.5510E-9
2.0250E+0,2.5460E-9
2.0094E+0,2.5408E-9
1.9938E+0,2.5356E-9
1.9788E+0,2.5305E-9
1.9641E+0,2.5254E-9
1.9478E+0,2.5203E-9
1.9335E+0,2.5151E-9
1.9173E+0,2.5098E-9
1.9003E+0,2.5046E-9
1.8877E+0,2.4995E-9
1.8718E+0,2.4943E-9
1.8563E+0,2.4890E-9
1.8437E+0,2.4837E-9
1.8269E+0,2.4784E-9
1.8130E+0,2.4731E-9
1.7983E+0,2.4680E-9
1.7797E+0,2.4628E-9
1.7648E+0,2.4574E-9
1.7496E+0,2.4519E-9
1.7377E+0,2.4465E-9
1.7200E+0,2.4411E-9
1.7028E+0,2.4358E-9
1.6928E+0,2.4304E-9
1.6764E+0,2.4248E-9
1.6590E+0,2.4193E-9
1.6467E+0,2.4139E-9
1.6302E+0,2.4084E-9
1.6178E+0,2.4030E-9
1.6009E+0,2.3974E-9
1.5855E+0,2.3919E-9
1.5704E+0,2.3863E-9
1.5548E+0,2.3806E-9
1.5398E+0,2.3750E-9
1.5260E+0,2.3694E-9
1.5079E+0,2.3638E-9
1.4900E+0,2.3580E-9
1.4779E+0,2.3521E-9
1.4624E+0,2.3464E-9
1.4478E+0,2.3407E-9
1.4331E+0,2.3349E-9
1.4200E+0,2.3290E-9
1.4013E+0,2.3230E-9
1.3876E+0,2.3172E-9
1.3714E+0,2.3114E-9
1.3590E+0,2.3055E-9
1.3395E+0,2.2995E-9
1.3242E+0,2.2935E-9
1.3108E+0,2.2875E-9
1.2952E+0,2.2814E-9
1.2828E+0,2.2753E-9
1.2696E+0,2.2691E-9
1.2500E+0,2.2629E-9
1.2380E+0,2.2568E-9
1.2201E+0,2.2506E-9
1.2072E+0,2.2444E-9
1.1918E+0,2.2381E-9
1.1775E+0,2.2318E-9
1.1622E+0,2.2254E-9
1.1469E+0,2.2190E-9
1.1306E+0,2.2126E-9
1.1161E+0,2.2061E-9
1.0997E+0,2.1995E-9
1.0836E+0,2.1929E-9
1.0686E+0,2.1865E-9
1.0552E+0,2.1798E-9
1.0399E+0,2.1730E-9
1.0257E+0,2.1661E-9
1.0088E+0,2.1594E-9
995.8454E-3,2.1527E-9
981.6949E-3,2.1458E-9
966.0833E-3,2.1387E-9
949.3452E-3,2.1316E-9
932.2879E-3,2.1246E-9
921.0475E-3,2.1175E-9
903.8357E-3,2.1104E-9
894.0462E-3,2.1032E-9
873.3803E-3,2.0958E-9
858.7864E-3,2.0885E-9
847.1011E-3,2.0812E-9
829.0531E-3,2.0737E-9
816.0647E-3,2.0660E-9
797.5513E-3,2.0581E-9
784.1465E-3,2.0505E-9
769.8567E-3,2.0427E-9
756.8597E-3,2.0348E-9
736.7613E-3,2.0267E-9
724.2179E-3,2.0186E-9
710.2017E-3,2.0107E-9
696.9397E-3,2.0026E-9
678.0084E-3,1.9942E-9
660.6724E-3,1.9856E-9
650.8575E-3,1.9771E-9
636.5711E-3,1.9686E-9
618.3567E-3,1.9599E-9
606.1022E-3,1.9510E-9
588.6183E-3,1.9420E-9
574.0278E-3,1.9329E-9
559.6054E-3,1.9237E-9
545.0098E-3,1.9145E-9
530.2732E-3,1.9049E-9
516.4470E-3,1.8953E-9
498.1971E-3,1.8856E-9
483.1869E-3,1.8758E-9
470.9357E-3,1.8658E-9
455.1950E-3,1.8554E-9
442.2167E-3,1.8451E-9
422.8556E-3,1.8347E-9
409.1298E-3,1.8241E-9
393.1087E-3,1.8132E-9
381.9959E-3,1.8020E-9
366.1107E-3,1.7907E-9
351.2432E-3,1.7793E-9
336.9551E-3,1.7678E-9
320.4753E-3,1.7561E-9
306.0326E-3,1.7440E-9
289.1688E-3,1.7317E-9
274.2640E-3,1.7192E-9
260.2681E-3,1.7064E-9
247.5600E-3,1.6935E-9
229.6683E-3,1.6801E-9
217.3799E-3,1.6665E-9
204.5460E-3,1.6525E-9
188.0747E-3,1.6385E-9
174.5019E-3,1.6241E-9
160.4991E-3,1.6093E-9
146.2110E-3,1.5942E-9
132.4988E-3,1.5787E-9
114.8705E-3,1.5629E-9
100.8661E-3,1.5466E-9
86.4403E-3,1.5298E-9
72.8488E-3,1.5126E-9
59.4406E-3,1.4950E-9
45.8830E-3,1.4768E-9
29.1195E-3,1.4581E-9
14.9910E-3,1.4389E-9
-1.1999E-3,1.4191E-9
-14.9155E-3,1.3987E-9
-26.1575E-3,1.3777E-9
-41.3053E-3,1.3561E-9
-55.0328E-3,1.3340E-9
-69.8952E-3,1.3113E-9
-85.3640E-3,1.2880E-9
-98.1911E-3,1.2642E-9
-116.3852E-3,1.2398E-9
-129.1017E-3,1.2149E-9
-146.4361E-3,1.1895E-9
-156.9543E-3,1.1636E-9
-169.5129E-3,1.1372E-9
-185.6937E-3,1.1104E-9
-205.1806E-3,1.0833E-9
-215.7327E-3,1.0557E-9
-229.2785E-3,1.0278E-9
-246.0487E-3,999.4280E-12
-257.4284E-3,970.7898E-12
-274.1952E-3,941.9048E-12
-289.4926E-3,912.7751E-12
-302.6390E-3,883.4458E-12
-319.5316E-3,853.8896E-12
-332.9702E-3,824.1621E-12
-347.2686E-3,794.2569E-12
-363.1503E-3,764.3038E-12
-376.8642E-3,734.2896E-12
-394.3582E-3,704.2967E-12
-408.0585E-3,674.3799E-12
-421.3358E-3,644.4192E-12
-439.1085E-3,614.5984E-12
-453.9844E-3,584.9442E-12
-470.0191E-3,555.4024E-12
-488.3659E-3,526.0587E-12
-498.7466E-3,496.8433E-12
-518.2504E-3,467.9288E-12
-534.7301E-3,439.2467E-12
-549.7437E-3,410.8759E-12
-564.3241E-3,382.8733E-12
-580.6526E-3,355.1167E-12
-597.7049E-3,327.7256E-12
-610.5473E-3,300.7185E-12
-628.0328E-3,274.0883E-12
-644.6400E-3,247.9183E-12
-658.0701E-3,222.1671E-12
-675.8530E-3,196.8416E-12
-692.3140E-3,171.9797E-12
-704.5805E-3,147.5935E-12
-723.3640E-3,123.7256E-12
-737.6555E-3,100.3939E-12
-751.8315E-3,77.6942E-12
-771.0313E-3,55.6095E-12
-787.5110E-3,34.0548E-12
-805.2582E-3,13.1425E-12
-819.8708E-3,-7.2083E-12
-836.6190E-3,-26.8283E-12
-852.3513E-3,-45.8182E-12
-868.5337E-3,-64.3756E-12
-887.4819E-3,-82.3083E-12
-904.6736E-3,-99.5007E-12
-919.2776E-3,-116.0115E-12
-932.2407E-3,-132.0397E-12
-949.7397E-3,-147.5592E-12
-965.0456E-3,-162.6070E-12
-978.1699E-3,-177.2202E-12
-997.6924E-3,-191.4727E-12
-1.0113E+0,-205.2899E-12
-1.0282E+0,-218.7458E-12
-1.0417E+0,-231.9885E-12
-1.0596E+0,-245.1153E-12
-1.0778E+0,-258.0823E-12
-1.0900E+0,-270.8643E-12
-1.1032E+0,-283.5948E-12
-1.1170E+0,-296.3514E-12
-1.1346E+0,-309.0963E-12
-1.1527E+0,-321.8755E-12
-1.1665E+0,-334.7788E-12
-1.1812E+0,-347.8631E-12
-1.1926E+0,-361.0276E-12
-1.2071E+0,-374.4102E-12
-1.2261E+0,-387.9373E-12
-1.2396E+0,-401.7045E-12
-1.2558E+0,-415.6691E-12
-1.2715E+0,-429.8112E-12
-1.2862E+0,-444.1323E-12
-1.3007E+0,-458.6235E-12
-1.3161E+0,-473.3566E-12
-1.3281E+0,-488.2913E-12
-1.3459E+0,-503.3480E-12
-1.3588E+0,-518.6954E-12
-1.3755E+0,-534.1142E-12
-1.3909E+0,-549.6988E-12
-1.4053E+0,-565.4788E-12
-1.4149E+0,-581.3822E-12
-1.4368E+0,-597.4434E-12
-1.4498E+0,-613.7067E-12
-1.4646E+0,-630.0715E-12
-1.4775E+0,-646.4665E-12
-1.4943E+0,-662.8951E-12
-1.5083E+0,-679.4403E-12
-1.5282E+0,-696.0636E-12
-1.5405E+0,-712.7465E-12
-1.5560E+0,-729.3828E-12
-1.5697E+0,-746.2070E-12
-1.5882E+0,-763.1388E-12
-1.6020E+0,-780.1056E-12
-1.6170E+0,-797.0415E-12
-1.6322E+0,-813.9808E-12
-1.6443E+0,-830.9353E-12
-1.6575E+0,-847.9980E-12
-1.6755E+0,-865.1794E-12
-1.6911E+0,-882.4142E-12
-1.7028E+0,-899.6531E-12
-1.7235E+0,-916.9840E-12
-1.7341E+0,-934.4060E-12
-1.7522E+0,-951.8760E-12
-1.7661E+0,-969.3535E-12
-1.7819E+0,-986.8831E-12
-1.7990E+0,-1.0046E-9
-1.8087E+0,-1.0226E-9
-1.8264E+0,-1.0406E-9
-1.8421E+0,-1.0586E-9
-1.8556E+0,-1.0767E-9
-1.8700E+0,-1.0950E-9
-1.8847E+0,-1.1135E-9
-1.8998E+0,-1.1321E-9
-1.9152E+0,-1.1507E-9
-1.9304E+0,-1.1695E-9
-1.9445E+0,-1.1886E-9
-1.9630E+0,-1.2080E-9
-1.9765E+0,-1.2275E-9
-1.9897E+0,-1.2470E-9
-2.0023E+0,-1.2667E-9
-2.0177E+0,-1.2866E-9
-2.0362E+0,-1.3068E-9
-2.0489E+0,-1.3270E-9
-2.0624E+0,-1.3473E-9
-2.0761E+0,-1.3679E-9
-2.0975E+0,-1.3888E-9
-2.1090E+0,-1.4098E-9
-2.1252E+0,-1.4309E-9
-2.1350E+0,-1.4520E-9
-2.1585E+0,-1.4733E-9
-2.1694E+0,-1.4950E-9
-2.1854E+0,-1.5168E-9
-2.1991E+0,-1.5387E-9
-2.2138E+0,-1.5605E-9
-2.2273E+0,-1.5824E-9
-2.2410E+0,-1.6045E-9
-2.2595E+0,-1.6267E-9
-2.2739E+0,-1.6490E-9
-2.2892E+0,-1.6712E-9
-2.3002E+0,-1.6933E-9
-2.3169E+0,-1.7156E-9
-2.3347E+0,-1.7380E-9
-2.3509E+0,-1.7604E-9
-2.3631E+0,-1.7825E-9
-2.3817E+0,-1.8045E-9
-2.3949E+0,-1.8265E-9
-2.4094E+0,-1.8484E-9
-2.4241E+0,-1.8702E-9
-2.4411E+0,-1.8920E-9
-2.4547E+0,-1.9136E-9
