Vforce,Charge
-357.3497E-6,000.0000E+0
1.2600E-3,-8.1858E-15
-207.8580E-6,-46.5448E-15
2.2420E-3,-70.5081E-15
-1.9509E-3,-82.1324E-15
1.6949E-3,-9.4183E-15
1.8224E-3,-35.4341E-15
660.2981E-6,-60.7665E-15
809.7879E-6,-76.4990E-15
-1.6655E-3,-125.1461E-15
-65.1417E-6,-92.8902E-15
522.6612E-6,-77.7707E-15
531.1292E-6,-64.0198E-15
-352.2689E-6,-96.8942E-15
-1.3716E-3,-123.6009E-15
-493.2902E-6,-105.0551E-15
-202.7795E-6,-123.5305E-15
-1.9476E-3,-89.9049E-15
-1.3665E-3,-85.7586E-15
949.1180E-6,-156.3398E-15
813.1756E-6,-138.4774E-15
-216.3242E-6,-133.6471E-15
86.0422E-6,-145.2666E-15
-1.8031E-3,-135.6367E-15
-1.2137E-3,-158.9112E-15
-496.6798E-6,-159.5629E-15
-1.7879E-3,-131.4173E-15
656.9108E-6,-116.3010E-15
2.7024E-3,-153.9676E-15
-1.8031E-3,-193.0144E-15
1.1122E-3,-165.5506E-15
808.0948E-6,-147.0043E-15
-938.3767E-6,-127.7766E-15
-352.2689E-6,-164.7645E-15
-212.9389E-6,-192.1558E-15
376.5571E-6,-166.7530E-15
808.0948E-6,-129.0102E-15
509.1137E-6,-120.7509E-15
371.4763E-6,-122.7733E-15
237.2285E-6,-167.2989E-15
1.8207E-3,-185.0882E-15
1.2430E-3,-156.2575E-15
-1.5025E-3,-121.9427E-15
240.6148E-6,-163.7249E-15
-1.7930E-3,-205.5109E-15
950.8130E-6,-160.9127E-15
6.0187E-3,-109.4544E-15
-778.7262E-6,-114.2176E-15
-795.6609E-6,-146.4095E-15
-799.0472E-6,-164.8908E-15
661.9912E-6,-165.5414E-15
1.8257E-3,-146.3074E-15
-4.4025E-3,-101.0268E-15
-1.6672E-3,-117.4519E-15
-1.3648E-3,-149.6412E-15
-1.5109E-3,-149.6084E-15
-3.8334E-3,-120.7846E-15
-1.0828E-3,-98.1290E-15
-66.8353E-6,-114.5503E-15
-209.5507E-6,-143.9972E-15
-1.9442E-3,-154.9338E-15
-1.6537E-3,-132.9617E-15
1.6729E-3,-117.8438E-15
-797.3540E-6,-141.8092E-15
227.0654E-6,-174.6830E-15
952.5056E-6,-126.6564E-15
-1.0675E-3,-110.8519E-15
-506.8391E-6,-166.3539E-15
-782.1120E-6,-86.7907E-15
-505.1460E-6,-214.2789E-15
75.8829E-6,-198.4781E-15
-931.6014E-6,-119.6022E-15
-56.6755E-6,-120.2518E-15
74.1907E-6,-86.6262E-15
1.1071E-3,-144.1770E-15
1.5200E-3,-251.0964E-15
-1.5245E-3,-137.9458E-15
2.4017E-3,-130.3673E-15
950.8130E-6,-107.0224E-15
86.0422E-6,-102.1878E-15
-795.6609E-6,-219.3927E-15
228.7604E-6,-156.9692E-15
-2.0920E-3,-153.5095E-15
957.5846E-6,-178.1537E-15
74.1907E-6,-109.5631E-15
4.7055E-3,-121.8688E-15
1.3874E-3,-143.7716E-15
-503.4528E-6,-171.1634E-15
218.5997E-6,-261.6293E-15
-362.4282E-6,-168.3586E-15
-66.8353E-6,-134.7320E-15
2.3881E-3,-165.5506E-15
-2.3842E-3,-168.2623E-15
1.6729E-3,-242.9565E-15
655.2172E-6,-174.3649E-15
1.2566E-3,-139.3597E-15
-212.9389E-6,-157.1527E-15
-630.9276E-6,-170.8274E-15
1.1088E-3,-209.8667E-15
1.5386E-3,-219.4269E-15
6.2872E-3,-126.1541E-15
16.8410E-3,37.0524E-15
31.5811E-3,238.6549E-15
45.7096E-3,411.4554E-15
62.7398E-3,638.4141E-15
79.4897E-3,851.6606E-15
94.2382E-3,1.0677E-12
108.8220E-3,1.2453E-12
124.8566E-3,1.4270E-12
137.7007E-3,1.6724E-12
154.4573E-3,1.8987E-12
166.5810E-3,2.1120E-12
184.6357E-3,2.2717E-12
197.3405E-3,2.4788E-12
212.5120E-3,2.7353E-12
228.6944E-3,2.9657E-12
242.9894E-3,3.1748E-12
258.5586E-3,3.3915E-12
275.0451E-3,3.6054E-12
287.7295E-3,3.7858E-12
305.0689E-3,4.0299E-12
324.7189E-3,4.2897E-12
335.2490E-3,4.5325E-12
352.7396E-3,4.7759E-12
364.0036E-3,4.9933E-12
378.4480E-3,5.2367E-12
395.9149E-3,5.5144E-12
413.2526E-3,5.7647E-12
426.8221E-3,6.0519E-12
440.5394E-3,6.3146E-12
458.7419E-3,6.5964E-12
473.8999E-3,6.8583E-12
486.4653E-3,7.1922E-12
503.2203E-3,7.5296E-12
518.3817E-3,7.8443E-12
532.5254E-3,8.1097E-12
546.2258E-3,8.4223E-12
563.2899E-3,8.7727E-12
579.3178E-3,9.1834E-12
595.9351E-3,9.5434E-12
608.9304E-3,9.9150E-12
619.5914E-3,10.2222E-12
635.4595E-3,10.6171E-12
655.8553E-3,11.0484E-12
668.8489E-3,11.4721E-12
680.6735E-3,11.8800E-12
701.9137E-3,12.3003E-12
716.5161E-3,12.7275E-12
728.4869E-3,13.2225E-12
744.9310E-3,13.6997E-12
759.6744E-3,14.2002E-12
771.7947E-3,14.6863E-12
791.4481E-3,15.1992E-12
803.5634E-3,15.7312E-12
821.6231E-3,16.2743E-12
835.3421E-3,16.8495E-12
850.7923E-3,17.4117E-12
863.9269E-3,17.9691E-12
880.4151E-3,18.6164E-12
896.1321E-3,19.1847E-12
911.0081E-3,19.8381E-12
925.7312E-3,20.4929E-12
942.0682E-3,21.2087E-12
955.4814E-3,21.8401E-12
973.2456E-3,22.5264E-12
989.2904E-3,23.2450E-12
1.0046E+0,24.0156E-12
1.0173E+0,24.8130E-12
1.0339E+0,25.6343E-12
1.0478E+0,26.4639E-12
1.0631E+0,27.3422E-12
1.0771E+0,28.2671E-12
1.0949E+0,29.2146E-12
1.1083E+0,30.1532E-12
1.1211E+0,31.1467E-12
