Vforce,Charge
-3.6161E-3,000.0000E+0
-145.1768E-6,-33.8675E-15
731.4459E-6,-73.2165E-15
-135.0175E-6,-63.2032E-15
1.3243E-3,-64.1545E-15
-1.4466E-3,-75.3982E-15
-1.0116E-3,-50.9907E-15
-578.4095E-6,-25.2120E-15
1.8850E-3,-46.7363E-15
-1.4466E-3,-58.6655E-15
451.0903E-6,-78.1298E-15
4.3130E-6,-54.4063E-15
-569.9428E-6,-12.8565E-15
891.0946E-6,2.6463E-15
-1.4347E-3,-42.1874E-15
-717.7395E-6,-40.4028E-15
-2.3063E-3,-34.5046E-15
-1.5588E-3,17.3360E-15
-858.7609E-6,28.7199E-15
-1.0049E-3,-25.7131E-15
-286.2019E-6,-56.1516E-15
-1.8798E-3,-12.5482E-15
-2.7513E-3,18.7131E-15
743.2979E-6,53.4113E-15
-867.2294E-6,20.9150E-15
11.0860E-6,-1.9794E-15
-2.3164E-3,25.1688E-15
884.3230E-6,60.5515E-15
289.7471E-6,74.6757E-15
1.3209E-3,33.9592E-15
-1.1628E-3,8.3167E-15
-3.0419E-3,-13.8984E-15
-428.9178E-6,18.0521E-15
2.6223E-3,127.4799E-15
1.4552E-3,60.0223E-15
-2.8941E-3,-52.0038E-15
1.8816E-3,-29.6515E-15
-2.8957E-3,9.1512E-15
2.6122E-3,81.5541E-15
731.4459E-6,53.8601E-15
3.9152E-3,39.8799E-15
-865.5362E-6,21.7815E-15
1.7525E-3,34.5403E-15
442.6241E-6,63.0645E-15
-707.5783E-6,62.1100E-15
600.5839E-6,39.9049E-15
-1.1442E-3,30.7223E-15
1.0220E-3,51.7056E-15
-855.3755E-6,31.5535E-15
-1.8798E-3,36.7640E-15
-2.1585E-3,39.9209E-15
301.6014E-6,29.3677E-15
-1.2988E-3,24.9810E-15
867.3906E-6,19.2231E-15
-2.7412E-3,53.2299E-15
-569.9428E-6,15.9371E-15
1.1715E-3,7.4417E-15
1.6030E-3,-23.6787E-15
7.7007E-6,4.8450E-15
-119.7760E-6,37.4875E-15
-3.1626E-3,17.3365E-15
296.5206E-6,-28.8689E-15
-2.5917E-3,5.1394E-15
452.7835E-6,18.5839E-15
1.0287E-3,14.2025E-15
165.6581E-6,-27.1996E-15
-413.6762E-6,9.5549E-15
306.6794E-6,-4.4248E-15
1.0321E-3,-578.0243E-18
1.3226E-3,-7.0146E-15
-1.4432E-3,27.6772E-15
456.1730E-6,43.8651E-15
600.5839E-6,26.4591E-15
-1.1323E-3,5.6252E-15
870.7764E-6,14.2658E-15
155.4969E-6,28.3931E-15
-3.1558E-3,44.5805E-15
877.5495E-6,38.8258E-15
-270.9603E-6,850.5977E-18
5.9353E-3,19.7781E-15
315.1480E-6,11.9715E-15
1.1630E-3,9.6437E-15
-1.1527E-3,29.2531E-15
595.5012E-6,-16.2636E-15
884.3230E-6,41.7436E-15
-136.7102E-6,-11.3177E-15
-2.1568E-3,-9.5315E-15
440.9315E-6,39.5598E-15
-719.4327E-6,-1.8481E-15
-1.4313E-3,21.8780E-15
1.1765E-3,1.7292E-15
304.9868E-6,8.3167E-15
-138.4029E-6,27.2416E-15
-994.7055E-6,7.7768E-15
1.1782E-3,35.6196E-15
16.1687E-6,27.8098E-15
4.5014E-3,16.5746E-15
-3.0402E-3,45.7791E-15
600.5839E-6,-40.1857E-15
-1.1425E-3,-690.9997E-18
2.8993E-3,86.1087E-15
14.5779E-3,129.0249E-15
33.5194E-3,361.8565E-15
45.9302E-3,509.6724E-15
63.4225E-3,634.1842E-15
81.0202E-3,808.7376E-15
95.3185E-3,983.9771E-15
108.4616E-3,1.1181E-12
122.3114E-3,1.2179E-12
138.7827E-3,1.3561E-12
153.5125E-3,1.5677E-12
167.6563E-3,1.6943E-12
182.9672E-3,1.8914E-12
197.5510E-3,2.0859E-12
213.0130E-3,2.1603E-12
228.3154E-3,2.2341E-12
245.4935E-3,2.4436E-12
260.5308E-3,2.6332E-12
273.6671E-3,2.8674E-12
288.1216E-3,2.9741E-12
307.0428E-3,3.0678E-12
320.4526E-3,3.2129E-12
332.7258E-3,3.4238E-12
349.7663E-3,3.6216E-12
365.2266E-3,3.8071E-12
379.3738E-3,3.9330E-12
394.6830E-3,4.1158E-12
411.3020E-3,4.2664E-12
426.3156E-3,4.4601E-12
440.7431E-3,4.6340E-12
458.3781E-3,4.8291E-12
473.8249E-3,4.9961E-12
484.5012E-3,5.1672E-12
501.6741E-3,5.3617E-12
516.4142E-3,5.5979E-12
529.8511E-3,5.7951E-12
547.6136E-3,6.0307E-12
561.7454E-3,6.1881E-12
