Vforce,Charge
-370.5150E-6,000.0000E+0
-1.3797E-3,41.5581E-15
-1.0875E-3,-10.1228E-15
3.2719E-3,28.0169E-15
1.3878E-3,31.8751E-15
-506.4578E-6,1.4485E-15
-649.1756E-6,-4.2963E-15
-1.6584E-3,26.9811E-15
509.4950E-6,38.3770E-15
800.0094E-6,58.6861E-15
1.0973E-3,-13.5565E-15
-506.4578E-6,580.1373E-18
1.3895E-3,57.2291E-15
-1.2200E-3,99.4775E-15
-790.1974E-6,44.3714E-15
-365.4346E-6,-1.1391E-15
-346.8073E-6,1.3473E-15
1.6699E-3,37.4260E-15
2.4139E-3,77.6251E-15
1.0939E-3,84.9096E-15
101.6651E-6,47.6367E-15
2.1065E-3,-3.3532E-15
2.5516E-3,17.6473E-15
-1.3594E-3,42.7576E-15
-644.0938E-6,85.0055E-15
1.5424E-3,73.7839E-15
-360.3538E-6,16.6200E-15
-786.8111E-6,39.6719E-15
-2.0950E-3,70.9483E-15
-61.3750E-6,65.8922E-15
-1.0773E-3,63.5769E-15
-931.2219E-6,57.1486E-15
1.5271E-3,88.4287E-15
3.4045E-3,80.6302E-15
-791.8938E-6,81.7418E-15
-1.3611E-3,58.1748E-15
-487.8304E-6,43.5227E-15
647.1323E-6,65.2003E-15
-1.6753E-3,99.2148E-15
1.1041E-3,105.8169E-15
-210.8649E-6,85.6763E-15
-503.0720E-6,64.1634E-15
229.1394E-6,48.1385E-15
2.9662E-3,88.3296E-15
-1.2200E-3,143.6042E-15
1.3777E-3,119.3501E-15
-61.3750E-6,95.0976E-15
81.3432E-6,81.8139E-15
1.6766E-3,67.1612E-15
-652.5618E-6,77.1838E-15
232.5289E-6,114.6358E-15
-511.5387E-6,80.7797E-15
1.0922E-3,136.0548E-15
2.6757E-3,101.5163E-15
653.9058E-6,101.9428E-15
-803.7458E-6,76.9984E-15
-647.4829E-6,108.2758E-15
-1.5089E-3,110.0745E-15
2.8438E-3,125.5914E-15
-68.1467E-6,97.2232E-15
805.0884E-6,72.2851E-15
-511.5387E-6,96.7040E-15
380.3256E-6,107.4191E-15
-494.6040E-6,129.1009E-15
1.1007E-3,102.7937E-15
-2.3940E-3,73.7352E-15
954.5796E-6,53.5978E-15
1.3793E-3,88.3047E-15
-71.5339E-6,123.0096E-15
-51.2120E-6,109.7296E-15
-71.5339E-6,81.3604E-15
-492.9113E-6,46.1390E-15
-1.9489E-3,101.4114E-15
-3.2367E-3,84.0153E-15
-2.0933E-3,25.4802E-15
-1.9573E-3,57.4400E-15
5.4211E-3,92.1465E-15
947.8066E-6,62.4087E-15
-346.8073E-6,31.3013E-15
796.6222E-6,7.0461E-15
-652.5618E-6,56.8329E-15
653.9058E-6,-10.6139E-15
2.0878E-3,26.8312E-15
89.8112E-6,32.7467E-15
-3.1143E-3,-55.9575E-15
2.2492E-3,69.2481E-15
-1.0706E-3,16.2014E-15
-924.4489E-6,-11.4780E-15
-795.2796E-6,62.9904E-15
-3.1194E-3,-44.9118E-15
-1.6668E-3,49.4370E-15
-929.5293E-6,63.5769E-15
2.8370E-3,5.7337E-15
-3.8431E-3,17.1233E-15
-1.2183E-3,-22.2127E-15
-1.6567E-3,-17.6727E-15
-932.9156E-6,39.6582E-15
-2.3889E-3,7.8588E-15
1.1058E-3,13.7759E-15
1.6868E-3,7.3534E-15
3.1224E-3,11.8977E-15
16.3980E-3,161.7834E-15
36.4761E-3,288.3607E-15
47.8846E-3,416.3093E-15
62.7639E-3,469.5303E-15
76.1755E-3,565.2519E-15
93.0833E-3,739.8199E-15
108.3891E-3,907.5315E-15
122.9813E-3,1.0348E-12
138.8529E-3,1.1189E-12
155.1815E-3,1.2557E-12
169.7686E-3,1.3816E-12
183.3330E-3,1.4931E-12
199.2165E-3,1.6135E-12
213.3755E-3,1.7963E-12
229.8450E-3,1.9414E-12
238.6541E-3,2.0289E-12
259.0075E-3,2.1328E-12
274.4526E-3,2.2889E-12
290.2103E-3,2.4169E-12
303.6184E-3,2.5523E-12
321.8412E-3,2.6858E-12
331.6222E-3,2.8034E-12
352.0247E-3,2.9615E-12
365.7251E-3,3.0922E-12
380.0251E-3,3.1852E-12
396.3502E-3,3.3180E-12
410.9322E-3,3.4781E-12
426.5269E-3,3.6349E-12
441.1039E-3,3.7327E-12
456.7053E-3,3.8695E-12
472.8759E-3,4.0146E-12
483.4009E-3,4.1946E-12
502.1844E-3,4.2863E-12
517.9336E-3,4.4183E-12
533.9614E-3,4.5949E-12
548.6795E-3,4.7126E-12
565.0233E-3,4.8741E-12
580.7724E-3,5.0336E-12
593.9087E-3,5.1479E-12
611.5200E-3,5.2765E-12
627.8265E-3,5.4428E-12
642.7109E-3,5.6044E-12
654.1109E-3,5.7296E-12
671.1513E-3,5.8541E-12
681.5370E-3,5.9958E-12
701.0443E-3,6.1799E-12
715.1998E-3,6.2983E-12
730.7978E-3,6.4831E-12
745.5226E-3,6.5466E-12
758.6623E-3,6.7260E-12
777.7346E-3,6.8958E-12
795.2133E-3,7.0614E-12
802.9810E-3,7.2435E-12
819.1702E-3,7.3742E-12
833.0268E-3,7.5042E-12
849.9262E-3,7.6712E-12
866.8291E-3,7.8335E-12
881.7100E-3,7.9916E-12
895.4054E-3,8.1051E-12
909.4233E-3,8.2797E-12
922.4135E-3,8.4693E-12
941.3532E-3,8.6281E-12
958.8320E-3,8.7581E-12
971.6659E-3,8.9560E-12
986.4076E-3,9.1175E-12
1.0007E+0,9.2585E-12
1.0156E+0,9.3974E-12
1.0311E+0,9.5514E-12
1.0498E+0,9.8110E-12
1.0619E+0,9.9677E-12
1.0783E+0,10.1492E-12
1.0930E+0,10.2874E-12
1.1063E+0,10.4414E-12
1.1220E+0,10.6365E-12
1.1401E+0,10.8611E-12
1.1544E+0,11.0666E-12
1.1676E+0,11.2165E-12
1.1837E+0,11.4589E-12
1.1984E+0,11.6547E-12
1.2148E+0,11.8766E-12
1.2296E+0,12.1279E-12
1.2453E+0,12.3539E-12
1.2604E+0,12.5230E-12
1.2754E+0,12.8251E-12
1.2921E+0,13.0682E-12
1.3073E+0,13.3806E-12
1.3207E+0,13.6416E-12
1.3341E+0,13.9402E-12
1.3513E+0,14.1964E-12
1.3664E+0,14.4518E-12
1.3814E+0,14.7759E-12
1.3975E+0,15.0869E-12
1.4120E+0,15.3574E-12
1.4311E+0,15.6677E-12
1.4472E+0,15.9520E-12
1.4559E+0,16.2239E-12
1.4735E+0,16.4986E-12
1.4900E+0,16.8301E-12
1.5024E+0,17.1055E-12
1.5165E+0,17.3980E-12
1.5318E+0,17.6836E-12
1.5479E+0,17.9768E-12
1.5648E+0,18.2302E-12
1.5798E+0,18.4966E-12
1.5949E+0,18.7432E-12
1.6098E+0,19.0384E-12
1.6270E+0,19.2829E-12
1.6404E+0,19.5349E-12
1.6562E+0,19.7417E-12
1.6715E+0,20.0034E-12
1.6893E+0,20.2232E-12
1.7009E+0,20.5013E-12
1.7174E+0,20.7417E-12
1.7360E+0,20.9930E-12
1.7493E+0,21.1573E-12
1.7626E+0,21.4025E-12
1.7792E+0,21.6902E-12
1.7945E+0,21.8963E-12
1.8046E+0,22.0873E-12
1.8228E+0,22.3188E-12
1.8371E+0,22.5050E-12
1.8514E+0,22.8050E-12
1.8678E+0,22.9837E-12
