Vforce,Charge
3.0464E-3,000.0000E+0
865.0476E-6,2.7419E-15
-866.1866E-6,-61.7033E-15
-721.7757E-6,15.7683E-15
3.7736E-3,69.9356E-15
285.7109E-6,-6.8512E-15
1.8945E-3,-14.3873E-15
5.3435E-3,-12.3304E-15
1.0213E-3,-3.4145E-15
-1.3011E-3,24.0086E-15
-291.9307E-6,-19.1845E-15
-135.6678E-6,-45.9197E-15
-2.0079E-3,-21.2342E-15
-1.1330E-3,1.3972E-15
2.4773E-3,19.2295E-15
584.6920E-6,-39.7289E-15
149.7686E-6,-60.9804E-15
-1.8686E-3,-13.6721E-15
287.4059E-6,24.7204E-15
1.0298E-3,-8.8675E-15
7.0504E-6,-7.4941E-15
-1.5916E-3,-29.4339E-15
-3.1090E-6,2.7878E-15
-422.7923E-6,29.5290E-15
2.6064E-3,11.7059E-15
-1.0038E-3,16.5072E-15
1.1657E-3,1.4275E-15
593.1582E-6,40.5109E-15
-1.0157E-3,35.7103E-15
-135.6678E-6,-6.1079E-15
-3.7662E-3,-6.1115E-15
588.0802E-6,1.4333E-15
-1.4591E-3,45.3062E-15
-1.8754E-3,62.4465E-15
-723.4684E-6,43.9352E-15
-144.1340E-6,27.4812E-15
-1.3164E-3,39.1309E-15
-9.8825E-6,43.2414E-15
-1.1499E-3,72.0378E-15
576.2258E-6,76.8364E-15
-1.8787E-3,56.2683E-15
-3.1090E-6,30.2150E-15
295.8721E-6,76.8372E-15
-711.6140E-6,67.9278E-15
-1.5882E-3,97.4082E-15
-298.7042E-6,33.6454E-15
-431.2608E-6,73.4102E-15
1.1488E-3,83.6919E-15
-149.2125E-6,67.9219E-15
-3.1971E-3,67.9156E-15
12.1331E-6,63.1203E-15
426.7364E-6,76.8300E-15
294.1776E-6,93.9714E-15
-3.1937E-3,57.6300E-15
-1.0326E-3,41.8547E-15
-2.0367E-3,11.6842E-15
-1.3096E-3,45.2749E-15
-560.4301E-6,103.5553E-15
-432.9539E-6,53.5074E-15
-1.1533E-3,31.5692E-15
447.0546E-6,61.0538E-15
577.9185E-6,71.3377E-15
431.8149E-6,68.5949E-15
5.8055E-3,69.9752E-15
1.3101E-3,52.8388E-15
-2.3221E-3,27.4684E-15
421.6542E-6,19.2377E-15
2.6014E-3,49.4042E-15
-1.6001E-3,43.9159E-15
1.3034E-3,19.9214E-15
-1.4591E-3,11.6897E-15
146.3809E-6,-2.7070E-15
2.1715E-3,23.3470E-15
1.8776E-3,52.8274E-15
-575.6717E-6,41.1730E-15
1.0196E-3,-4.0731E-15
-711.6140E-6,729.3081E-18
878.5927E-6,-638.0772E-18
-1.8771E-3,45.9820E-15
2.7661E-3,56.2728E-15
2.6047E-3,6.9121E-15
-1.4675E-3,6.2192E-15
1.0366E-3,-21.1963E-15
3.7617E-3,4.1727E-15
-436.3416E-6,36.3944E-15
-436.3416E-6,-11.5978E-15
-4.4697E-3,14.4568E-15
4.9221E-3,13.0894E-15
863.3544E-6,-12.2783E-15
-589.2163E-6,18.5695E-15
1.0078E-3,23.3677E-15
1.3034E-3,-6.1115E-15
1.7366E-3,24.7411E-15
148.0740E-6,11.0305E-15
-867.8792E-6,20.6283E-15
577.9185E-6,31.5978E-15
3.3387E-3,11.0356E-15
414.8798E-6,7.6019E-15
1.0095E-3,61.0773E-15
2.4688E-3,42.5708E-15
5.1974E-3,43.2559E-15
18.7719E-3,214.6525E-15
31.7740E-3,478.6050E-15
48.6717E-3,678.1128E-15
66.4257E-3,825.5132E-15
80.5931E-3,996.9140E-15
102.1103E-3,1.2280E-12
110.1820E-3,1.4288E-12
127.3719E-3,1.5893E-12
142.9666E-3,1.7394E-12
155.6611E-3,1.9348E-12
171.8486E-3,2.1686E-12
184.1167E-3,2.3708E-12
200.1327E-3,2.5621E-12
215.9023E-3,2.7541E-12
231.1962E-3,2.9405E-12
246.2183E-3,3.1764E-12
266.1621E-3,3.3684E-12
278.1228E-3,3.5884E-12
293.5849E-3,3.7804E-12
309.0402E-3,4.0162E-12
320.7137E-3,4.2438E-12
341.2318E-3,4.4653E-12
352.3548E-3,4.6504E-12
367.7949E-3,4.8657E-12
384.5719E-3,5.1358E-12
400.1564E-3,5.4224E-12
413.8804E-3,5.6260E-12
429.7673E-3,5.8605E-12
445.9412E-3,6.1326E-12
460.8138E-3,6.4453E-12
476.4220E-3,6.7572E-12
492.5705E-3,7.0582E-12
507.0150E-3,7.3372E-12
522.1866E-3,7.6704E-12
533.8736E-3,8.0392E-12
550.3347E-3,8.4444E-12
563.9093E-3,8.8688E-12
582.5754E-3,9.3117E-12
594.2253E-3,9.7409E-12
609.6755E-3,10.2441E-12
625.2854E-3,10.8104E-12
641.3268E-3,11.4555E-12
