Vforce,Charge
-920.4450E-6,000.0000E+0
-2.3679E-3,-41.9476E-15
-920.4450E-6,-19.4489E-15
-485.5215E-6,20.1900E-15
-1.0699E-3,30.3465E-15
1.4087E-3,24.7419E-15
-1.7852E-3,-41.8853E-15
-7.2914E-3,-27.6190E-15
-1.8005E-3,360.1967E-18
-2.0723E-3,15.3185E-15
520.2705E-6,-18.4021E-15
-1.2160E-3,-37.7264E-15
-3.0968E-3,12.8782E-15
-1.3588E-3,-3.0176E-15
-918.7523E-6,10.5690E-15
-1.2093E-3,-60.1723E-15
-2.5310E-3,-19.1696E-15
-1.9347E-3,-9.0125E-15
-2.5276E-3,-13.9432E-15
92.1220E-6,-9.2693E-15
-3.0951E-3,-40.9347E-15
-1.2143E-3,-49.2890E-15
-781.1149E-6,28.0551E-15
829.4124E-6,-2.9167E-15
-2.0791E-3,-3.7291E-15
-626.5443E-6,-15.5082E-15
-3.6659E-3,-27.9750E-15
1.9695E-3,10.2927E-15
-1.7954E-3,23.1905E-15
-50.5962E-6,17.5812E-15
234.8383E-6,-30.5357E-15
1.6925E-3,-28.6004E-15
1.6993E-3,-7.4665E-15
1.4020E-3,-2.1038E-15
1.1030E-3,-857.8040E-18
673.1499E-6,-7.1522E-15
-1.4845E-3,-38.8107E-15
-1.0818E-3,-29.3435E-15
-1.3452E-3,-23.2963E-15
-910.2842E-6,-28.2179E-15
-2.2252E-3,-11.8911E-15
-1.0581E-3,-47.6653E-15
958.5817E-6,200.7311E-18
673.1499E-6,-608.9810E-18
382.6346E-6,-9.6463E-15
-1.6510E-3,-46.7964E-15
-1.4964E-3,-43.4936E-15
2.7051E-3,-7.9640E-15
2.2600E-3,17.9637E-15
2.2718E-3,-10.2663E-15
-3.6676E-3,-57.6987E-15
-920.4450E-6,-39.9991E-15
1.6942E-3,6.4999E-15
103.9740E-6,9.8064E-15
-1.9296E-3,8.3101E-15
1.2830E-3,-23.3410E-15
-3.6659E-3,-32.3799E-15
-1.6391E-3,30.5695E-15
1.2626E-3,23.5933E-15
2.7067E-3,18.6737E-15
-911.9769E-6,17.1795E-15
669.7636E-6,-14.4827E-15
244.9972E-6,10.0759E-15
685.0033E-6,43.5493E-15
-38.7437E-6,42.7428E-15
-1.3401E-3,-3.9986E-15
-5.3921E-3,-6.8651E-15
92.1220E-6,-3.5623E-15
-45.5154E-6,23.0525E-15
98.8936E-6,47.6106E-15
1.9745E-3,867.0705E-18
-920.4450E-6,-49.9921E-15
1.5362E-3,-26.1217E-15
686.6965E-6,23.8063E-15
1.6891E-3,32.5964E-15
824.3339E-6,-25.8006E-15
661.2956E-6,-21.8149E-15
-205.1660E-6,-24.6851E-15
-493.9877E-6,2.6106E-15
-1.5049E-3,-9.8578E-15
-47.2099E-6,17.4422E-15
-1.4947E-3,20.7455E-15
1.8454E-3,21.3122E-15
-1.4981E-3,10.9027E-15
-1.3486E-3,37.5165E-15
-2.9388E-3,10.6539E-15
6.1743E-3,250.2367E-18
2.7220E-3,1.5058E-15
-635.0109E-6,-3.4201E-15
1.5447E-3,36.2215E-15
819.2535E-6,-22.8627E-15
-3.2496E-3,-30.5357E-15
-769.2625E-6,-7.3493E-15
-1.5099E-3,-33.5311E-15
-183.1509E-6,17.7671E-15
-55.6761E-6,-29.6647E-15
-57.3693E-6,-52.4159E-15
85.3485E-6,9.8453E-15
-53.9816E-6,-36.2148E-15
1.2491E-3,-14.4006E-15
2.2566E-3,6.7269E-15
16.1166E-3,118.3510E-15
30.5695E-3,299.9087E-15
47.3177E-3,456.7843E-15
64.2154E-3,535.5033E-15
76.3408E-3,741.0545E-15
93.3744E-3,898.6124E-15
108.5325E-3,987.6100E-15
123.8569E-3,1.2082E-12
137.0118E-3,1.2822E-12
151.2830E-3,1.4911E-12
168.0448E-3,1.6453E-12
181.3136E-3,1.7514E-12
196.4902E-3,1.9343E-12
212.6761E-3,2.0624E-12
229.6995E-3,2.1912E-12
243.4084E-3,2.4413E-12
259.7284E-3,2.4700E-12
273.1552E-3,2.6440E-12
292.2547E-3,2.8550E-12
304.9306E-3,2.9749E-12
321.7127E-3,3.2017E-12
333.2384E-3,3.3058E-12
348.9588E-3,3.4153E-12
363.9944E-3,3.6270E-12
379.2986E-3,3.7770E-12
392.7270E-3,3.9497E-12
412.1034E-3,4.1059E-12
429.3018E-3,4.2449E-12
442.9700E-3,4.4025E-12
459.0486E-3,4.5655E-12
472.3293E-3,4.7341E-12
488.6443E-3,4.9211E-12
503.2128E-3,5.0321E-12
517.6522E-3,5.2383E-12
536.2980E-3,5.4452E-12
548.4184E-3,5.6062E-12
561.9743E-3,5.7953E-12
576.5682E-3,5.9871E-12
592.0202E-3,6.1269E-12
610.2378E-3,6.3502E-12
625.9600E-3,6.6093E-12
640.8376E-3,6.8155E-12
653.8295E-3,6.9696E-12
668.1125E-3,7.1827E-12
686.9079E-3,7.4212E-12
699.7638E-3,7.6795E-12
712.8899E-3,7.9001E-12
728.6356E-3,8.1283E-12
743.6730E-3,8.3565E-12
760.5555E-3,8.6484E-12
776.7378E-3,8.9287E-12
792.0488E-3,9.1946E-12
805.9071E-3,9.4756E-12
819.6227E-3,9.7751E-12
837.0862E-3,10.0889E-12
848.4895E-3,10.3939E-12
868.5930E-3,10.6954E-12
880.7048E-3,11.0415E-12
895.1510E-3,11.3760E-12
911.0192E-3,11.7755E-12
925.8986E-3,12.1689E-12
941.4983E-3,12.5459E-12
956.3793E-3,12.8803E-12
970.9664E-3,13.2607E-12
985.2597E-3,13.6932E-12
1.0035E+0,14.2264E-12
1.0205E+0,14.5129E-12
1.0347E+0,14.9200E-12
1.0462E+0,15.3909E-12
1.0631E+0,15.9653E-12
1.0749E+0,16.3779E-12
1.0911E+0,16.8583E-12
1.1086E+0,17.3333E-12
1.1227E+0,17.8426E-12
1.1380E+0,18.3875E-12
1.1532E+0,18.9166E-12
1.1692E+0,19.4424E-12
1.1832E+0,19.9660E-12
1.2013E+0,20.5384E-12
1.2144E+0,21.0675E-12
1.2287E+0,21.5925E-12
1.2414E+0,22.1834E-12
1.2588E+0,22.7098E-12
1.2780E+0,23.2979E-12
1.2856E+0,23.8627E-12
1.3056E+0,24.4138E-12
1.3191E+0,24.8984E-12
1.3359E+0,25.4803E-12
1.3519E+0,26.0753E-12
1.3656E+0,26.6346E-12
1.3815E+0,27.1651E-12
1.3958E+0,27.7422E-12
1.4114E+0,28.3297E-12
1.4295E+0,28.9507E-12
1.4448E+0,29.5580E-12
1.4537E+0,30.1056E-12
1.4728E+0,30.6972E-12
1.4856E+0,31.3723E-12
1.5021E+0,31.9886E-12
1.5152E+0,32.5719E-12
1.5311E+0,33.1751E-12
1.5470E+0,33.7577E-12
1.5635E+0,34.4562E-12
1.5792E+0,35.1307E-12
1.5986E+0,35.7681E-12
1.6068E+0,36.3439E-12
1.6237E+0,37.0218E-12
1.6362E+0,37.7888E-12
1.6562E+0,38.5216E-12
1.6695E+0,39.1543E-12
1.6833E+0,39.7540E-12
1.6988E+0,40.4813E-12
1.7151E+0,41.2443E-12
1.7281E+0,41.9345E-12
1.7467E+0,42.6138E-12
1.7606E+0,43.3384E-12
1.7769E+0,44.0567E-12
1.7921E+0,44.7278E-12
1.8071E+0,45.4311E-12
1.8226E+0,46.1837E-12
1.8374E+0,46.8795E-12
1.8519E+0,47.5766E-12
1.8667E+0,48.2627E-12
1.8806E+0,49.0442E-12
1.8953E+0,49.8318E-12
1.9137E+0,50.5454E-12
1.9271E+0,51.2301E-12
1.9401E+0,51.9396E-12
1.9589E+0,52.6545E-12
1.9732E+0,53.4867E-12
1.9895E+0,54.2579E-12
2.0039E+0,55.0009E-12
2.0179E+0,55.7515E-12
2.0302E+0,56.4795E-12
2.0481E+0,57.2746E-12
2.0628E+0,58.1130E-12
2.0771E+0,58.9115E-12
2.0931E+0,59.6470E-12
2.1076E+0,60.3963E-12
2.1228E+0,61.2195E-12
2.1391E+0,62.0243E-12
2.1569E+0,62.8372E-12
2.1714E+0,63.7051E-12
2.1869E+0,64.5174E-12
2.2026E+0,65.2899E-12
2.2126E+0,66.1605E-12
2.2312E+0,66.9878E-12
2.2471E+0,67.8180E-12
2.2617E+0,68.6378E-12
2.2741E+0,69.4405E-12
2.2952E+0,70.2638E-12
2.3068E+0,71.0493E-12
2.3232E+0,71.9261E-12
2.3365E+0,72.7774E-12
2.3547E+0,73.5650E-12
2.3676E+0,74.3931E-12
2.3792E+0,75.2164E-12
2.3959E+0,76.1068E-12
2.4087E+0,77.0398E-12
2.4266E+0,77.9487E-12
2.4439E+0,78.8495E-12
2.4559E+0,79.7180E-12
2.4725E+0,80.5844E-12
2.4929E+0,81.5092E-12
2.5031E+0,82.4010E-12
2.5187E+0,83.3093E-12
2.5345E+0,84.2306E-12
2.5483E+0,85.1594E-12
2.5641E+0,86.1342E-12
2.5774E+0,87.1131E-12
2.5949E+0,88.0728E-12
2.6081E+0,89.0421E-12
2.6249E+0,89.9524E-12
2.6356E+0,90.9553E-12
2.6539E+0,91.8773E-12
2.6698E+0,92.9062E-12
2.6874E+0,93.9077E-12
2.7001E+0,94.9044E-12
2.7157E+0,95.8676E-12
2.7313E+0,96.8725E-12
2.7468E+0,97.9186E-12
2.7599E+0,98.9502E-12
2.7761E+0,99.9456E-12
2.7856E+0,101.0054E-12
2.8068E+0,102.0377E-12
2.8213E+0,103.0783E-12
2.8411E+0,104.1471E-12
2.8507E+0,105.1938E-12
2.8665E+0,106.2111E-12
2.8850E+0,107.2791E-12
2.8971E+0,108.3684E-12
2.9135E+0,109.4076E-12
2.9260E+0,110.4160E-12
2.9437E+0,111.4929E-12
2.9595E+0,112.5369E-12
2.9723E+0,113.5974E-12
2.9872E+0,114.6901E-12
3.0038E+0,115.7862E-12
3.0214E+0,116.8803E-12
3.0272E+0,117.9504E-12
3.0161E+0,118.7640E-12
2.9996E+0,119.3549E-12
2.9858E+0,119.9478E-12
2.9689E+0,120.4982E-12
2.9531E+0,120.9115E-12
2.9404E+0,121.3426E-12
2.9257E+0,121.7284E-12
2.9075E+0,122.1623E-12
2.8961E+0,122.5755E-12
2.8833E+0,122.9141E-12
2.8645E+0,123.2376E-12
2.8497E+0,123.5247E-12
2.8347E+0,123.8276E-12
2.8203E+0,124.1456E-12
2.8060E+0,124.4094E-12
2.7879E+0,124.6726E-12
2.7727E+0,124.8946E-12
2.7585E+0,125.1131E-12
2.7422E+0,125.3571E-12
2.7293E+0,125.6010E-12
2.7124E+0,125.8052E-12
2.7004E+0,125.8914E-12
2.6837E+0,126.1224E-12
2.6676E+0,126.3485E-12
2.6520E+0,126.4395E-12
2.6372E+0,126.6972E-12
2.6207E+0,126.7101E-12
2.6071E+0,126.8443E-12
2.5898E+0,127.0362E-12
2.5770E+0,127.1211E-12
2.5616E+0,127.2814E-12
2.5434E+0,127.2943E-12
2.5330E+0,127.3291E-12
2.5150E+0,127.5442E-12
2.5016E+0,127.5942E-12
2.4858E+0,127.6592E-12
2.4679E+0,127.7029E-12
2.4517E+0,127.7041E-12
2.4389E+0,127.8480E-12
2.4226E+0,127.9048E-12
2.4091E+0,127.8772E-12
2.3922E+0,127.9258E-12
2.3732E+0,127.9339E-12
2.3610E+0,127.9893E-12
2.3498E+0,128.0275E-12
2.3330E+0,127.9774E-12
2.3203E+0,127.9601E-12
2.3046E+0,128.0025E-12
2.2884E+0,127.9982E-12
2.2717E+0,127.9721E-12
2.2574E+0,127.9150E-12
2.2384E+0,127.8840E-12
2.2291E+0,127.9210E-12
2.2136E+0,127.9023E-12
2.1983E+0,127.7877E-12
2.1813E+0,127.7581E-12
2.1687E+0,127.7189E-12
2.1514E+0,127.7592E-12
2.1388E+0,127.6809E-12
2.1208E+0,127.5793E-12
2.1063E+0,127.4839E-12
2.0925E+0,127.4790E-12
2.0773E+0,127.4480E-12
2.0605E+0,127.3862E-12
2.0465E+0,127.2633E-12
2.0351E+0,127.2084E-12
2.0183E+0,127.1445E-12
1.9999E+0,127.0731E-12
1.9856E+0,127.0112E-12
1.9730E+0,126.9186E-12
1.9545E+0,126.8046E-12
1.9389E+0,126.7085E-12
1.9258E+0,126.6604E-12
1.9104E+0,126.5684E-12
