Vforce,Charge
1.1518E-3,000.0000E+0
567.3874E-6,22.7598E-15
852.8215E-6,-16.8700E-15
275.1798E-6,6.5743E-15
-305.8500E-6,38.9301E-15
-603.1379E-6,28.7769E-15
-1.4815E-3,-13.6027E-15
-2.7710E-3,-22.3853E-15
258.2470E-6,29.8484E-15
-440.0992E-6,34.0984E-15
-762.7862E-6,13.6566E-15
-314.3162E-6,-25.9769E-15
-1.0465E-3,-64.2425E-15
854.5142E-6,-42.8544E-15
-1.4594E-3,16.9255E-15
1.2962E-3,21.1765E-15
1.5816E-3,1.4309E-15
-1.0245E-3,-60.8233E-15
-304.1564E-6,-53.8336E-15
-1.1723E-3,-32.4472E-15
-591.2817E-6,9.5080E-15
2.8864E-3,-13.6640E-15
-20.4150E-6,-46.4400E-15
2.8813E-3,-79.8974E-15
6.4933E-3,-46.8522E-15
2.0183E-3,-28.8895E-15
4.2064E-3,-39.7145E-15
3.7495E-3,-77.2849E-15
-606.5233E-6,-93.6095E-15
-455.3389E-6,-63.9975E-15
433.1373E-6,-70.7149E-15
-450.2609E-6,-95.9484E-15
2.4532E-3,-97.8671E-15
-4.3510E-3,-122.4156E-15
2.6111E-3,-68.1119E-15
428.0555E-6,-63.8614E-15
434.8309E-6,-77.4341E-15
711.7964E-6,-93.0672E-15
1.6001E-6,-100.4696E-15
1.2928E-3,-91.4205E-15
-10.2561E-6,-66.6040E-15
-1.1740E-3,-101.4363E-15
1.7244E-3,-118.4401E-15
-2.0557E-3,-130.6527E-15
866.3662E-6,-76.3527E-15
-1.4747E-3,-118.0446E-15
-883.4898E-6,-91.1734E-15
152.7840E-6,-55.3816E-15
-878.4108E-6,-110.7794E-15
135.8475E-6,-133.2679E-15
-893.6510E-6,-102.9720E-15
708.4106E-6,-80.2133E-15
-446.8708E-6,-71.8519E-15
1.1264E-3,-111.4865E-15
-3.3435E-3,-137.4072E-15
1.7379E-3,-98.8741E-15
-5.1734E-6,-38.4054E-15
-1.9062E-3,-99.9788E-15
-1.7533E-3,-147.1522E-15
723.6526E-6,-145.6419E-15
-1.4561E-3,-72.1492E-15
1.4322E-3,-50.0755E-15
-299.0741E-6,-88.3331E-15
-881.7962E-6,-133.4481E-15
-733.9999E-6,-128.5142E-15
-450.2609E-6,-45.4248E-15
433.1373E-6,-68.5962E-15
1.1484E-3,-99.9969E-15
857.9000E-6,-109.4592E-15
-2.3445E-3,-116.8727E-15
1.2945E-3,-81.0852E-15
-591.2817E-6,-44.6147E-15
1.5850E-3,-88.3549E-15
-304.1564E-6,-125.9284E-15
-22.1081E-6,-101.1156E-15
146.0110E-6,-84.5224E-15
1.5800E-3,-65.1901E-15
-1.4713E-3,-102.0818E-15
1.0040E-3,-143.0806E-15
560.6134E-6,-155.9735E-15
1.1399E-3,-104.4207E-15
-1.7466E-3,-87.8323E-15
134.1548E-6,-91.8104E-15
2.1407E-3,-111.5619E-15
1.5800E-3,-110.7404E-15
-174.9856E-6,-82.5023E-15
572.4664E-6,-63.1689E-15
-4.0521E-3,-38.3518E-15
1.1501E-3,-88.9484E-15
1.8755E-3,-103.8933E-15
1.2877E-3,-62.6232E-15
-876.7158E-6,-70.7149E-15
-581.1224E-6,-66.4638E-15
-152.9706E-6,-58.7865E-15
-1.6072E-3,-67.5664E-15
563.9997E-6,-47.5501E-15
1.8789E-3,-57.0092E-15
438.2181E-6,-60.2970E-15
563.9997E-6,-91.6998E-15
-455.3389E-6,-122.4196E-15
541.9865E-6,29.2228E-15
17.0048E-3,791.0385E-15
35.6574E-3,1.8689E-12
45.1868E-3,2.7583E-12
63.2229E-3,3.5585E-12
78.2500E-3,4.4999E-12
94.1301E-3,5.4804E-12
111.0329E-3,6.3773E-12
124.7501E-3,7.2831E-12
136.2759E-3,8.1752E-12
153.1905E-3,9.1502E-12
170.2344E-3,10.0560E-12
183.3757E-3,10.9529E-12
195.0662E-3,11.9197E-12
215.4416E-3,12.8797E-12
228.5660E-3,13.8259E-12
249.5258E-3,14.7859E-12
262.5244E-3,15.6539E-12
276.9621E-3,16.5865E-12
294.4340E-3,17.5965E-12
308.3093E-3,18.5393E-12
319.8469E-3,19.4855E-12
336.3198E-3,20.4044E-12
353.3535E-3,21.3794E-12
366.7854E-3,22.4175E-12
381.2145E-3,23.3734E-12
399.4136E-3,24.3223E-12
410.6556E-3,25.2309E-12
428.2974E-3,26.2614E-12
