,Thickness (nm),Flash voltage (kV),Flash time (msec),"Pr (uC/cm2), Pristine state","2Pr (uC/cm2), Pristine state",Predicted 2Pr,Coersive Voltage,Imprint,Endurance,Max temperature (degC)
1,10,2,2,1.39,2.78,,0.49,-0.002,1.00E+08,342
2,10,2,5,3.94,7.88,,0.84,0.122,1.00E+07,345
3,10,2.2,1,4.69,9.38,,0.74,0.069,1.00E+07,361
4,10,2.2,1.5,13.82,27.64,,0.93,0.195,1.00E+06,403
5,10,2.2,2,13.81,27.62,,0.97,0.144,1.00E+05,427
6,10,2.2,5,13.39,26.78,,0.97,0.169,1.00E+05,422
7,10,2.5,0.5,2.23,4.46,,0.62,-0.008,1.00E+07,373
8,10,2.5,1,12.46,24.92,,0.87,0.144,1.00E+07,498
9,10,2.5,1.5,13.74,27.48,,0.95,0.129,1.00E+07,553
10,10,2.5,2,19.71,39.42,,1.1,0.099,1.00E+08,580
11,10,2.5,5,15.22,30.44,,0.93,0.091,1.00E+07,508
12,10,2.7,0.5,11.99,23.98,,0.89,0.025,1.00E+07,455
13,10,2.7,1,16.41,32.82,,0.97,0.183,1.00E+07,587
14,10,2.7,1.5,18.35,36.7,,1.05,0.107,1.00E+07,655
15,10,2.7,2,17.97,35.94,,1.16,0.092,1.00E+07,687
16,10,2.7,5,18.67,37.34,,1.26,0.09,1.00E+05,638
17,10,3,0.5,14.65,29.3,,0.88,0.167,1.00E+07,549
18,10,3,1,15.44,30.88,,1.58,0.153,1.00E+07,916
19,10,3,1.5,15.33,30.66,,1.64,0.182,1.00E+05,800
20,10,3,2,13.43,26.86,,1.84,0.143,1.00E+05,832
21,10,3,5,20.14,40.28,,2.01,0.212,1.00E+03,785
