Vforce,Charge
-1.4765E-3,000.0000E+0
-452.0511E-6,20.2635E-15
-1.9114E-3,-31.4646E-15
-5.6627E-3,-39.3139E-15
-2.7728E-3,-44.4203E-15
-166.6175E-6,-24.8435E-15
1.8551E-3,-11.4370E-15
-3.2009E-3,-34.3671E-15
-2.6216E-3,-71.0085E-15
-2.9155E-3,-33.6080E-15
-151.3778E-6,-20.8823E-15
844.2550E-6,-34.8993E-15
-4.3579E-3,-59.2011E-15
-32.3678E-6,-67.0510E-15
-176.7787E-6,-43.3638E-15
-2.6301E-3,-65.6105E-15
-1.4663E-3,-79.6275E-15
-3.9314E-3,-108.0450E-15
-2.0473E-3,-91.8971E-15
1.0005E-3,-100.4257E-15
-734.0998E-6,-85.6448E-15
1.3012E-3,-99.6544E-15
1.1229E-3,-110.2466E-15
-2.0473E-3,-96.8411E-15
128.9778E-6,-86.1748E-15
-2.1968E-3,-80.3124E-15
555.4332E-6,-94.3294E-15
2.0216E-3,-115.8809E-15
-2.6402E-3,-90.8252E-15
1.2843E-3,-63.7048E-15
-606.6217E-6,-87.3221E-15
1.1365E-3,-102.7092E-15
-2.7728E-3,-90.6760E-15
1.8721E-3,-59.4388E-15
2.6009E-3,-68.6493E-15
1.0056E-3,-83.3465E-15
-2.9273E-3,-78.8580E-15
1.5782E-3,-75.0459E-15
711.6980E-6,-63.0069E-15
2.5958E-3,-67.4198E-15
558.8232E-6,-45.7851E-15
-13.7404E-6,-71.4545E-15
1.8568E-3,-62.1609E-15
2.7334E-3,-63.1480E-15
-897.1362E-6,-63.4559E-15
-905.6047E-6,-39.0852E-15
-739.1783E-6,-54.4718E-15
1.1466E-3,-58.2007E-15
-751.0326E-6,-29.0278E-15
-2.1833E-3,-45.1000E-15
1.5866E-3,-9.7482E-15
-161.5366E-6,-24.4492E-15
-2.4704E-3,-15.8397E-15
-2.2036E-3,-26.4335E-15
1.8687E-3,-41.8174E-15
866.2686E-6,-46.2293E-15
1.0022E-3,-47.9014E-15
-452.0511E-6,-12.5550E-15
1.2927E-3,-21.7681E-15
-594.7693E-6,-52.9232E-15
1.0090E-3,-25.7985E-15
-1.0432E-3,-22.6790E-15
-1.7399E-3,-12.0100E-15
-1.0365E-3,-37.6831E-15
-2.4806E-3,-47.5876E-15
-1.7585E-3,-30.7541E-15
-305.9475E-6,-55.7389E-15
1.1432E-3,-55.3554E-15
574.0611E-6,-24.1177E-15
992.0521E-6,2.3160E-15
-739.1783E-6,-10.3282E-15
-304.2548E-6,-38.7404E-15
-608.3144E-6,-39.7339E-15
-151.3778E-6,-7.1261E-15
-735.7929E-6,-6.7431E-15
135.7494E-6,-17.3279E-15
-1.4494E-3,-31.3395E-15
251.3731E-6,-57.7019E-15
-149.6846E-6,-21.6656E-15
563.9013E-6,-32.9376E-15
-1.0365E-3,-27.0736E-15
2.0148E-3,-46.5705E-15
1.8551E-3,-35.9063E-15
2.4345E-3,-61.5778E-15
283.5480E-6,-28.9695E-15
3.0240E-3,-64.2354E-15
-1.4714E-3,-85.1099E-15
-1.1724E-3,-58.6756E-15
122.2043E-6,-7.5617E-15
-309.3338E-6,-15.4079E-15
-1.9097E-3,-30.1136E-15
-3.3420E-3,-87.3221E-15
-1.1741E-3,-33.4648E-15
412.7187E-6,21.0775E-15
-1.3219E-3,-15.5639E-15
-1.9012E-3,-52.8914E-15
-2.9172E-3,-54.5699E-15
-1.7568E-3,-28.1377E-15
-163.2293E-6,-13.3589E-15
-897.1362E-6,-11.6100E-15
1.5629E-3,-31.1128E-15
18.3027E-3,198.2492E-15
33.6068E-3,459.1472E-15
48.3604E-3,597.3323E-15
65.2547E-3,838.3551E-15
74.6363E-3,1.0012E-12
94.8639E-3,1.1325E-12
110.3022E-3,1.4360E-12
123.2958E-3,1.6194E-12
139.6192E-3,1.7884E-12
153.3297E-3,2.0294E-12
168.7901E-3,2.0552E-12
181.3369E-3,2.3723E-12
198.6780E-3,2.6791E-12
213.2601E-3,2.7666E-12
229.4205E-3,2.9781E-12
242.4293E-3,3.1629E-12
261.6409E-3,3.3066E-12
273.7748E-3,3.6443E-12
291.2535E-3,3.7873E-12
305.6878E-3,3.9419E-12
321.5966E-3,4.1884E-12
337.3272E-3,4.3855E-12
351.8924E-3,4.6225E-12
367.0571E-3,4.8703E-12
385.1152E-3,4.9564E-12
396.6613E-3,5.2187E-12
415.0268E-3,5.4391E-12
430.9221E-3,5.6898E-12
444.4848E-3,5.9514E-12
459.0618E-3,6.0827E-12
475.0795E-3,6.2901E-12
490.4124E-3,6.5736E-12
504.8433E-3,6.8805E-12
519.5766E-3,7.0584E-12
532.4138E-3,7.3118E-12
549.4542E-3,7.5110E-12
564.3302E-3,7.8521E-12
581.3841E-3,8.1219E-12
593.6523E-3,8.3486E-12
606.2125E-3,8.6026E-12
630.0420E-3,8.8868E-12
640.4243E-3,9.1971E-12
654.4321E-3,9.5176E-12
671.6305E-3,9.7813E-12
684.4813E-3,10.0970E-12
700.6553E-3,10.4470E-12
716.8275E-3,10.7655E-12
729.9671E-3,11.1279E-12
743.8170E-3,11.4663E-12
761.4588E-3,11.8047E-12
777.0500E-3,12.1787E-12
792.3524E-3,12.5863E-12
807.2148E-3,12.9850E-12
824.2942E-3,13.4338E-12
839.1617E-3,13.7941E-12
853.8916E-3,14.2943E-12
867.4391E-3,14.7451E-12
884.0648E-3,15.1671E-12
897.9097E-3,15.6542E-12
913.9527E-3,16.1757E-12
928.0948E-3,16.7506E-12
943.2630E-3,17.3097E-12
957.7091E-3,17.8037E-12
972.4254E-3,18.3807E-12
987.7380E-3,18.9761E-12
1.0048E+0,19.6971E-12
1.0168E+0,20.3583E-12
1.0332E+0,20.9723E-12
1.0517E+0,21.6473E-12
1.0602E+0,22.3401E-12
1.0796E+0,23.1214E-12
1.0959E+0,23.9239E-12
1.1080E+0,24.6256E-12
1.1229E+0,25.3109E-12
1.1366E+0,26.0634E-12
1.1524E+0,26.9153E-12
1.1703E+0,27.7760E-12
1.1824E+0,28.5600E-12
1.2020E+0,29.3639E-12
1.2150E+0,30.1637E-12
1.2309E+0,31.0217E-12
1.2452E+0,31.9100E-12
1.2621E+0,32.7365E-12
1.2787E+0,33.5520E-12
1.2926E+0,34.3922E-12
1.3069E+0,35.2935E-12
1.3213E+0,36.1412E-12
1.3355E+0,37.0260E-12
1.3524E+0,37.8944E-12
1.3655E+0,38.7366E-12
1.3805E+0,39.5652E-12
1.3973E+0,40.4226E-12
1.4129E+0,41.2655E-12
1.4276E+0,42.1496E-12
1.4461E+0,43.0070E-12
1.4591E+0,43.7992E-12
1.4756E+0,44.6477E-12
1.4887E+0,45.5942E-12
1.5073E+0,46.3357E-12
1.5228E+0,47.2678E-12
1.5327E+0,48.0435E-12
1.5511E+0,48.9338E-12
1.5652E+0,49.8076E-12
1.5763E+0,50.6526E-12
1.5967E+0,51.4682E-12
1.6119E+0,52.3420E-12
1.6273E+0,53.2124E-12
1.6441E+0,54.1431E-12
1.6562E+0,54.9196E-12
1.6731E+0,55.8112E-12
1.6855E+0,56.6535E-12
1.6992E+0,57.5136E-12
1.7189E+0,58.4176E-12
1.7327E+0,59.2818E-12
1.7494E+0,60.0898E-12
1.7639E+0,60.9828E-12
1.7810E+0,61.8402E-12
1.7940E+0,62.7064E-12
1.8106E+0,63.5357E-12
1.8229E+0,64.3745E-12
1.8389E+0,65.3080E-12
1.8507E+0,66.1530E-12
1.8695E+0,67.0330E-12
1.8828E+0,67.8924E-12
