index,specimen_id,status,voltage_V_actual,time_ms_actual,readout,readout_value,two_pr_uC_cm2,date,operator,notes
0,S0,measured,,,eps_r,0.2326,,,,AS-DEPOSITED CONTROL -- do not flash. Leave voltage/time blank.
1,S1,measured,709.0,2.8,eps_r,0.2864,,,,
2,S2,measured,655.0,3.2,eps_r,0.1949,,,,
3,S3,measured,691.0,3.6,eps_r,0.1445,,,,
4,S4,measured,572.0,4.4,eps_r,0.1472,,,,
5,S5,measured,641.0,4.9,eps_r,0.1479,,,,
6,S6,measured,674.0,5.6,eps_r,-0.0139,,,,
7,S7,measured,605.0,5.9,eps_r,0.1868,,,,
8,S8,measured,626.0,6.8,eps_r,0.3084,,,,
9,S9,measured,647.0,8.7,eps_r,0.0403,,,,
10,S10,measured,669.0,9.5,eps_r,0.0978,,,,
